epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,311.089,0.35149,0.27242,0.86647,0.99764,0.99022,0.995,0.95666,0.33214,0.21848,0.68824,0.000803031,0.000803031,0.000803031
58,316.477,0.35115,0.29035,0.86912,0.99765,0.99434,0.995,0.95742,0.33189,0.21871,0.68799,0.000797531,0.000797531,0.000797531
59,321.872,0.35643,0.27406,0.87202,0.99781,0.99443,0.995,0.95368,0.34313,0.22888,0.691,0.000792032,0.000792032,0.000792032
60,327.077,0.34863,0.27862,0.87582,0.99837,0.98991,0.995,0.96212,0.32912,0.21082,0.68739,0.000786532,0.000786532,0.000786532
61,332.526,0.35286,0.28005,0.8751,0.99661,0.99036,0.995,0.95874,0.31636,0.21777,0.68405,0.000781033,0.000781033,0.000781033
62,338.061,0.34704,0.27531,0.87586,0.9982,0.9898,0.995,0.9612,0.31528,0.20454,0.68645,0.000775534,0.000775534,0.000775534
63,343.507,0.35848,0.30583,0.87515,0.99634,0.99415,0.995,0.96387,0.32494,0.20992,0.69054,0.000770034,0.000770034,0.000770034
64,348.946,0.34795,0.28639,0.87414,0.99123,1,0.995,0.95701,0.33745,0.216,0.68842,0.000764535,0.000764535,0.000764535
65,354.345,0.36087,0.27242,0.88505,0.99777,0.99029,0.995,0.95735,0.33305,0.22316,0.68747,0.000759035,0.000759035,0.000759035
66,359.82,0.34764,0.28168,0.8725,0.99236,0.99979,0.995,0.96291,0.3208,0.19801,0.68427,0.000753536,0.000753536,0.000753536
67,365.317,0.37028,0.27048,0.87413,0.99803,0.99555,0.995,0.95916,0.33591,0.21783,0.68574,0.000748036,0.000748036,0.000748036
68,370.807,0.33523,0.25945,0.8676,0.99436,0.99446,0.995,0.95648,0.33895,0.22914,0.69581,0.000742537,0.000742537,0.000742537
69,376.226,0.33901,0.26314,0.85999,0.9969,0.99493,0.995,0.96169,0.34734,0.22525,0.69747,0.000737037,0.000737037,0.000737037
70,381.711,0.37401,0.29542,0.86642,0.9962,0.99435,0.995,0.95423,0.34262,0.22692,0.69017,0.000731538,0.000731538,0.000731538
71,387.162,0.35753,0.27389,0.87326,0.99055,0.99856,0.995,0.95513,0.33622,0.20942,0.68786,0.000726038,0.000726038,0.000726038
72,392.685,0.35566,0.36372,0.88151,0.99689,0.99062,0.99489,0.94392,0.35684,0.21342,0.68931,0.000720539,0.000720539,0.000720539
73,398.121,0.3638,0.28352,0.8658,0.99733,0.99131,0.99468,0.96319,0.32526,0.21474,0.68332,0.00071504,0.00071504,0.00071504
74,403.531,0.34353,0.2749,0.8618,0.9941,0.99273,0.99489,0.96376,0.32216,0.2166,0.68662,0.00070954,0.00070954,0.00070954
75,408.762,0.34239,0.27526,0.87249,0.99718,0.99105,0.995,0.95283,0.33823,0.20059,0.69124,0.000704041,0.000704041,0.000704041
76,414.266,0.34664,0.28324,0.87991,0.99229,0.99867,0.995,0.96005,0.3284,0.19527,0.68364,0.000698541,0.000698541,0.000698541
77,419.599,0.34652,0.26791,0.8762,0.99675,0.99474,0.995,0.95549,0.31006,0.19182,0.67762,0.000693042,0.000693042,0.000693042
78,424.978,0.34224,0.25858,0.85927,0.9967,0.9948,0.995,0.96569,0.30863,0.19574,0.67346,0.000687542,0.000687542,0.000687542
79,430.354,0.3377,0.25155,0.87208,0.99205,1,0.995,0.95869,0.32269,0.19159,0.67728,0.000682043,0.000682043,0.000682043
80,435.809,0.3387,0.26361,0.87696,0.99203,0.99848,0.995,0.96682,0.32719,0.20589,0.68549,0.000676543,0.000676543,0.000676543
81,441.211,0.36589,0.47247,0.9033,0.99272,0.99866,0.995,0.96436,0.30574,0.18596,0.6745,0.000671044,0.000671044,0.000671044
82,446.53,0.3604,0.28389,0.87864,0.99344,1,0.995,0.96573,0.31835,0.2007,0.682,0.000665545,0.000665545,0.000665545
83,451.943,0.33634,0.26145,0.87674,0.99161,0.99501,0.995,0.95832,0.32276,0.20247,0.68319,0.000660045,0.000660045,0.000660045
84,457.471,0.36606,0.27742,0.89407,0.99729,0.99483,0.995,0.96574,0.30752,0.19395,0.67845,0.000654546,0.000654546,0.000654546
85,462.984,0.35468,0.26039,0.8843,0.99714,0.99474,0.995,0.95059,0.33152,0.20418,0.68658,0.000649046,0.000649046,0.000649046
