stamp_ns,ns,class_id,score,meas_u,meas_v,proj_u,proj_v,reproj_px,cam_x,cam_y,cam_z,world_x,world_y,world_z,disp_med,mad,consistency
73992000000,drone1,3,0.933304,516,64,516,64,0,5.80741,-5.21481,11.2996,14.3647,-5.50433,1.19586,3.375,3.1875,MISMATCH_expected_left
74020000000,drone1,3,0.927112,514,64,514,64,0,10.0129,-9.08387,19.6832,21.1884,-9.33733,-5.26474,1.9375,1.3125,MISMATCH_expected_left
74056000000,drone1,3,0.938123,562,61,562,61,0,0.553143,-0.409143,0.871686,5.89969,-0.742831,9.25653,43.75,10.3125,MISMATCH_expected_left
74092000000,drone1,3,0.938302,532,65,532,65,0,6.784,-5.6,12.2036,14.9624,-5.88568,0.00133523,3.125,2.4375,MISMATCH_expected_left
74120000000,drone1,3,0.938869,519,67,519,67,0,6.24314,-5.42745,11.9643,14.8943,-5.71246,0.589057,3.1875,2.5,MISMATCH_expected_left
74152000000,drone1,3,0.939459,492,44,492,44,0,5.73333,-6.53333,12.7121,15.7694,-6.81235,0.860624,3,2.3125,MISMATCH_expected_left
74184000000,drone1,3,0.938805,531,67,531,67,0,6.25185,-5.12593,11.2996,14.2633,-5.41348,0.775206,3.375,0.5,MISMATCH_expected_left
74212000000,drone1,3,0.935557,514,69,514,69,0,5.26102,-4.63729,10.342,13.6368,-4.92749,2.00198,3.6875,2.375,MISMATCH_expected_left
74248000000,drone1,3,0.934591,530,68,530,68,0,6.58824,-5.39608,11.9643,14.8113,-5.68022,0.260994,3.1875,3.0625,MISMATCH_expected_left
74284000000,drone1,3,0.933743,492,44,492,44,0,6.25455,-7.12727,13.8677,16.744,-7.40033,0.0288658,2.75,1.3125,MISMATCH_expected_left
74316000000,drone1,3,0.933539,495,67,495,67,0,18.6667,-18.4533,40.6787,38.8539,-18.6095,-19.6382,0.9375,0.75,MISMATCH_expected_left
74348000000,drone1,3,0.932049,518,68,518,68,0,4.95,-4.3,9.53406,12.9688,-4.59352,2.53857,4,3.9375,MISMATCH_expected_left
74384000000,drone1,3,0.933117,489,44,489,44,0,5.51837,-6.4,12.4527,15.6112,-6.6794,1.14705,3.0625,2.8125,MISMATCH_expected_left
74416000000,drone1,3,0.934328,517,67,517,67,0,9.00571,-7.90857,17.4337,19.3738,-8.16935,-3.63792,2.1875,1.5625,MISMATCH_expected_left
74452000000,drone1,3,0.935076,490,44,490,44,0,5.55102,-6.4,12.4527,15.6084,-6.6803,1.11578,3.0625,2.8125,MISMATCH_expected_left
74480000000,drone1,3,0.936308,491,46,491,46,0,5.7,-6.46667,12.7121,15.8168,-6.74592,0.897668,3,2.75,MISMATCH_expected_left
74548000000,drone1,3,0.936928,495,68,495,68,0,14,-13.76,30.509,30.4767,-13.9619,-12.2185,1.25,0.5,MISMATCH_expected_left
74580000000,drone1,3,0.936758,505,70,505,70,0,10.5714,-9.71429,21.7921,23.1115,-9.95543,-6.40712,1.75,1.0625,MISMATCH_expected_left
74612000000,drone1,3,0.936405,506,68,506,68,0,8.75294,-8.09412,17.9465,19.9534,-8.35174,-3.55117,2.125,0.875,MISMATCH_expected_left
74704000000,drone1,3,0.9286,529,71,529,71,0,6.30943,-5.10189,11.5128,14.5048,-5.38713,0.660654,3.3125,2.5625,MISMATCH_expected_left
74776000000,drone1,3,0.928437,508,73,508,73,0,12.5333,-11.1333,25.4242,26.0426,-11.357,-9.34048,1.5,1.375,MISMATCH_expected_left
74812000000,drone1,3,0.926829,518,73,518,73,0,5.86667,-4.94815,11.2996,14.438,-5.23329,1.14578,3.375,3.125,MISMATCH_expected_left
74840000000,drone1,3,0.926854,491,47,491,47,0,6.51429,-7.35238,14.5281,17.3538,-7.62181,-0.414538,2.625,2.5,MISMATCH_expected_left
74872000000,drone1,3,0.925933,505,72,505,72,0,16.4444,-14.9333,33.8989,33.035,-15.121,-15.5565,1.125,1.0625,MISMATCH_expected_left
76360000000,drone1,3,0.928155,538,47,538,47,0,5.45,-4.825,9.53406,13.0712,-5.10716,2.05434,3.86538,0.133927,MISMATCH_expected_left
76808000000,drone1,3,0.930909,539,49,539,49,0,5.475,-4.775,9.53406,13.1131,-5.07021,2.02194,3.68421,0.672985,MISMATCH_expected_left
77032000000,drone1,3,0.933544,539,51,539,51,0,5.39077,-4.65231,9.38738,13.0543,-4.94449,2.17152,3.92361,0.205771,MISMATCH_expected_left
77096000000,drone1,3,0.933064,539,50,539,50,0,5.5619,-4.8254,9.6854,13.289,-5.11494,1.9099,3.96635,0.0937192,MISMATCH_expected_left
77412000000,drone1,3,0.93079,538,52,538,52,0,5.53651,-4.7746,9.6854,13.3282,-5.05824,1.92595,3.97727,0.0300654,MISMATCH_expected_left
78024000000,drone1,3,0.926283,504,56,504,56,0,5.16491,-5.16491,10.7049,14.4742,-5.43406,1.99055,3.5625,0.875,MISMATCH_expected_left
78788000000,drone1,3,0.932342,528,60,528,60,0,5.28254,-4.57143,9.6854,13.5431,-4.84818,2.17604,3.9375,0.3125,MISMATCH_expected_left
78892000000,drone1,4,0.906013,306,323,306,323,0,-1.4,8.3,38.1362,42.6458,8.18929,0.302459,0.790441,0.277811,OK_right
78988000000,drone1,4,0.909953,306,323,306,323,0,-1.06667,6.32381,29.0562,33.8803,6.16208,2.6201,0.967188,0.337149,OK_right
79020000000,drone1,4,0.906718,306,322,306,322,0,-1.17895,6.90526,32.1147,36.8369,6.75956,1.82909,0.870536,0.256751,OK_right
79160000000,drone1,3,0.930487,534,60,534,60,0,5.35,-4.5,9.53406,13.4013,-4.78324,2.14926,4,0.1875,MISMATCH_expected_left
79356000000,drone1,3,0.92783,531,62,531,62,0,5.35873,-4.52064,9.6854,13.5578,-4.80321,2.09215,3.9375,0.1875,MISMATCH_expected_left
79424000000,drone1,3,0.929245,548,63,548,63,0,5.7,-4.425,9.53406,13.3218,-4.70796,1.81162,4,0.875,MISMATCH_expected_left
79456000000,drone1,3,0.929835,548,61,548,61,0,5.98033,-4.69508,10.0029,13.6902,-4.97627,1.40409,3.8125,0.25,MISMATCH_expected_left
79592000000,drone1,3,0.932645,533,63,533,63,0,5.40952,-4.49524,9.6854,13.5862,-4.78051,2.06181,3.9375,0.1875,MISMATCH_expected_left
79992000000,drone1,3,0.934582,534,58,534,58,0,5.43492,-4.62222,9.6854,13.6303,-4.91322,2.02694,3.9375,0.125,MISMATCH_expected_left
80316000000,drone1,3,0.929943,535,60,535,60,0,5.375,-4.5,9.53406,13.5449,-4.79822,2.12094,4,0.125,MISMATCH_expected_left
80460000000,drone1,3,0.926946,528,62,528,62,0,5.28254,-4.52064,9.6854,13.7348,-4.81759,2.16245,3.9375,0.1875,MISMATCH_expected_left
