stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
532.6,ours,1,0,0,0.2,1.868424034,1.89439874,2.041049797,0,148,185,5,1,1,1,1,0.024,world,2.059008692,14.00285132,19.33353409
532.6,ab3dmot,1,0,0,0.2,1.870924252,1.895627586,2.042524531,0,152,190,5,1,1,1,1,0.076,world,2.056432871,14.00496483,19.33575415
532.6,sort,1,0,0,0.2,13.04968726,13.04968726,13.04968726,0,4,5,5,1,1,1,1,0.108,world,13.04968726,21.6319609,25.51576725
532.676,ours,1,0,0,0.2,1.872476996,1.899247301,2.051604453,0,152,190,5,1,1,1,1,0.02,world,2.070678169,14.00692781,19.33458592
532.676,ab3dmot,1,0,0,0.2,1.875104586,1.900252401,2.052748049,0,156,195,5,1,1,1,1,0.088,world,2.068346776,14.00880191,19.33614637
532.676,sort,1,0,0,0.2,13.05650053,13.05650231,13.06263247,0,8,10,5,1,1,1,1,0.088,world,13.0633138,21.64072588,25.52234785
532.764,ours,1,0,0,0.2,1.876529959,1.904170114,2.06017564,0,156,195,5,1,1,1,1,0.048,world,2.082632289,14.01066002,19.3343087
532.764,ab3dmot,1,0,0,0.2,1.8767541,1.904933464,2.057028567,0,160,200,5,1,1,1,1,0.108,world,2.079291167,14.01368763,19.33894466
532.764,sort,1,0,0,0.2,13.0633138,13.06332642,13.07559895,0,12,15,5,1,1,1,1,0.108,world,13.07696397,21.64939351,25.52874222
532.848,ours,1,0,0,0.2,1.87874911,1.9092816,2.071275875,0,160,200,5,1,1,1,1,0.048,world,2.098942609,14.0180119,19.33817072
532.848,ab3dmot,1,0,0,0.2,1.878403614,1.9098069,2.068346776,0,164,205,5,1,1,1,1,0.128,world,2.095470864,14.02142881,19.34485198
532.848,sort,1,0,0,0.2,13.07013888,13.07185867,13.09435334,0,16,20,5,1,1,1,1,0.128,world,13.09742205,21.66217456,25.53795782
532.9,ours,1,0,0,0.2,1.880968261,1.914243614,2.082632289,0,164,205,5,1,1,1,1,0.012,world,2.103146224,14.02166537,19.34177857
532.9,ab3dmot,1,0,0,0.2,1.884600368,1.91447244,2.078743947,0,168,210,5,1,1,1,1,0.048,world,2.096840517,14.02815452,19.35574291
