stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
534.496,ci,136,3.20484,3.36396,4.4032,-6.05806
534.496,ftci,136,3.25996,3.42237,4.4165,-6.22699
534.568,ci,138,3.20831,3.36529,4.4031,-6.06356
534.568,ftci,138,3.26092,3.42289,4.41555,-6.22984
534.636,ci,140,3.21064,3.36657,4.40299,-6.06879
534.636,ftci,140,3.26346,3.42338,4.4146,-6.23258
534.704,ci,142,3.21242,3.36779,4.40291,-6.074
534.704,ftci,142,3.2648,3.4238,4.41412,-6.23545
534.796,ci,144,3.21415,3.36898,4.40285,-6.07907
534.796,ftci,144,3.26627,3.42421,4.4141,-6.2382
534.872,ci,146,3.2158,3.37017,4.40279,-6.0841
534.872,ftci,146,3.26772,3.42461,4.41408,-6.24106
534.956,ci,148,3.21675,3.37132,4.40273,-6.089
534.956,ftci,148,3.26812,3.42498,4.41406,-6.24379
535.032,ci,150,3.21835,3.37247,4.40267,-6.09377
535.032,ftci,150,3.26927,3.42536,4.41404,-6.24651
535.1,ci,152,3.21835,3.37358,4.40261,-6.09851
535.1,ftci,152,3.26927,3.4257,4.41402,-6.24926
535.196,ci,154,3.21847,3.37464,4.40256,-6.10307
535.196,ftci,154,3.26927,3.426,4.414,-6.25181
535.264,ci,156,3.21847,3.37564,4.4025,-6.10763
535.264,ftci,156,3.26927,3.42624,4.41398,-6.2545
535.344,ci,158,3.21847,3.37664,4.40244,-6.11201
535.344,ftci,158,3.26927,3.4265,4.41396,-6.257
535.4,ci,160,3.21847,3.37761,4.40238,-6.11632
535.4,ftci,160,3.26927,3.42673,4.41394,-6.25953
535.492,ci,162,3.21847,3.37856,4.40097,-6.12055
535.492,ftci,162,3.26927,3.42695,4.41384,-6.26199
535.58,ci,164,3.21847,3.37944,4.39821,-6.12459
535.58,ftci,164,3.26927,3.42713,4.41366,-6.26426
535.66,ci,166,3.21847,3.38029,4.39544,-6.12864
535.66,ftci,166,3.26927,3.42729,4.41348,-6.26665
535.732,ci,168,3.21847,3.38109,4.39268,-6.13264
535.732,ftci,168,3.26927,3.42741,4.4133,-6.26905
535.8,ci,170,3.21847,3.38184,4.38992,-6.13653
535.8,ftci,170,3.26927,3.4275,4.41312,-6.27133
535.9,ci,172,3.21847,3.38249,4.38716,-6.14029
535.9,ftci,172,3.26927,3.4275,4.41293,-6.27351
535.988,ci,174,3.21847,3.38307,4.38439,-6.14392
535.988,ftci,174,3.26927,3.42745,4.41275,-6.27561
536.056,ci,176,3.21847,3.38361,4.38163,-6.14751
536.056,ftci,176,3.26927,3.42737,4.41257,-6.27767
536.128,ci,178,3.21847,3.38407,4.37887,-6.15105
536.128,ftci,178,3.26927,3.4272,4.41239,-6.27978
536.2,ci,180,3.21847,3.38445,4.37611,-6.15453
536.2,ftci,180,3.26927,3.42695,4.41221,-6.28184
536.284,ci,182,3.21847,3.38474,4.3747,-6.15791
536.284,ftci,182,3.26927,3.42662,4.41192,-6.28378
536.356,ci,184,3.21847,3.38495,4.37466,-6.16115
536.356,ftci,184,3.26927,3.42622,4.41154,-6.28563
536.456,ci,186,3.21847,3.38503,4.37462,-6.16437
536.456,ftci,186,3.26927,3.42573,4.41115,-6.28749
536.52,ci,188,3.21847,3.38502,4.37458,-6.16744
536.52,ftci,188,3.26868,3.42515,4.41077,-6.28923
536.6,ci,190,3.21847,3.38482,4.37454,-6.16928
536.6,ftci,190,3.2585,3.42446,4.41038,-6.28983
536.68,ci,192,3.21847,3.3845,4.3745,-6.17127
536.68,ftci,192,3.25211,3.42368,4.40999,-6.29075
536.78,ci,194,3.21847,3.38404,4.37446,-6.17334
536.78,ftci,194,3.24569,3.42277,4.40961,-6.29165
536.848,ci,196,3.21847,3.38351,4.37441,-6.17566
536.848,ftci,196,3.24168,3.42181,4.40922,-6.29282
536.924,ci,198,3.21847,3.3829,4.37437,-6.17806
536.924,ftci,198,3.23757,3.42076,4.40884,-6.29401
537,ci,200,3.21847,3.38223,4.37433,-6.18049
537,ftci,200,3.23345,3.41965,4.40845,-6.29524
537.08,ci,202,3.21847,3.38151,4.3742,-6.18308
537.08,ftci,202,3.23142,3.41851,4.40803,-6.29671
537.144,ci,204,3.21847,3.38076,4.37399,-6.1856
537.144,ftci,204,3.22944,3.41733,4.40759,-6.29806
537.204,ci,206,3.21847,3.38001,4.37378,-6.18817
537.204,ftci,206,3.22944,3.41616,4.40714,-6.29954
