stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
531480000000,/,drone2,0,3,"container4",world,27.8886,4.71468,0,0.0885499,0,0,0,0.0885499,0,0,0,0.210072
531480000000,/,drone1,1,4,"container5",world,30.8589,-2.50055,0,0.0882572,0,0,0,0.0882572,0,0,0,0.207435
531568000000,/,drone2,0,3,"container4",world,27.8886,4.71468,0,0.0885499,0,0,0,0.0885499,0,0,0,0.210072
531568000000,/,drone1,1,4,"container5",world,30.8589,-2.50055,0,0.0882572,0,0,0,0.0882572,0,0,0,0.207435
531636000000,/,drone2,0,3,"container4",world,27.8917,4.73235,0,0.0881374,0,0,0,0.0881374,0,0,0,0.207168
531636000000,/,drone1,1,4,"container5",world,30.8326,-2.51086,0,0.0880281,0,0,0,0.0880281,0,0,0,0.205394
531732000000,/,drone2,0,3,"container4",world,27.8473,4.80859,0,0.0940946,0,0,0,0.0940946,0,0,0,0.217773
531732000000,/,drone1,1,4,"container5",world,30.8104,-2.5232,0,0.0896325,0,0,0,0.0896325,0,0,0,0.207823
531796000000,/,drone2,0,3,"container4",world,27.8416,4.81566,0,0.0945715,0,0,0,0.0945715,0,0,0,0.218237
531796000000,/,drone1,1,4,"container5",world,30.8036,-2.52797,0,0.0896624,0,0,0,0.0896624,0,0,0,0.207685
531880000000,/,drone2,0,3,"container4",world,27.8483,4.79779,0,0.092994,0,0,0,0.092994,0,0,0,0.215632
531880000000,/,drone1,1,4,"container5",world,30.8057,-2.53054,0,0.0893088,0,0,0,0.0893088,0,0,0,0.207084
531960000000,/,drone2,0,3,"container4",world,27.8508,4.78091,0,0.0908306,0,0,0,0.0908306,0,0,0,0.211308
531960000000,/,drone1,1,4,"container5",world,30.7925,-2.54128,0,0.0885299,0,0,0,0.0885299,0,0,0,0.205149
532028000000,/,drone2,0,3,"container4",world,27.8497,4.7697,0,0.0899715,0,0,0,0.0899715,0,0,0,0.209275
532028000000,/,drone1,1,4,"container5",world,30.7844,-2.54844,0,0.0884287,0,0,0,0.0884287,0,0,0,0.204637
532100000000,/,drone2,0,3,"container4",world,27.8531,4.75567,0,0.089439,0,0,0,0.089439,0,0,0,0.207876
532100000000,/,drone1,1,4,"container5",world,30.7831,-2.55381,0,0.0885006,0,0,0,0.0885006,0,0,0,0.204562
532192000000,/,drone2,0,3,"container4",world,27.8527,4.75083,0,0.0888806,0,0,0,0.0888806,0,0,0,0.206568
532192000000,/,drone1,1,4,"container5",world,30.7806,-2.55915,0,0.0881882,0,0,0,0.0881882,0,0,0,0.203873
532284000000,/,drone2,0,3,"container4",world,27.8546,4.74012,0,0.0886952,0,0,0,0.0886952,0,0,0,0.205841
532284000000,/,drone1,1,4,"container5",world,30.7807,-2.56658,0,0.0882812,0,0,0,0.0882812,0,0,0,0.203901
532360000000,/,drone2,0,3,"container4",world,27.8559,4.73058,0,0.0879781,0,0,0,0.0879781,0,0,0,0.204116
532360000000,/,drone1,1,4,"container5",world,30.7783,-2.57799,0,0.0877555,0,0,0,0.0877555,0,0,0,0.202805
532452000000,/,drone2,0,3,"container4",world,27.8554,4.72514,0,0.0879635,0,0,0,0.0879635,0,0,0,0.203754
532452000000,/,drone1,1,4,"container5",world,30.7789,-2.58335,0,0.0877159,0,0,0,0.0877159,0,0,0,0.202654
532516000000,/,drone2,0,3,"container4",world,27.8595,4.72154,0,0.088039,0,0,0,0.088039,0,0,0,0.203582
532516000000,/,drone1,1,4,"container5",world,30.781,-2.58867,0,0.0877358,0,0,0,0.0877358,0,0,0,0.202617
532600000000,/,drone2,0,3,"container4",world,27.8639,4.71773,0,0.0881585,0,0,0,0.0881585,0,0,0,0.203587
532600000000,/,drone1,1,4,"container5",world,30.7718,-2.61345,0,0.0879399,0,0,0,0.0879399,0,0,0,0.202886
532676000000,/,drone2,0,3,"container4",world,27.8653,4.7181,0,0.0881527,0,0,0,0.0881527,0,0,0,0.20344
532676000000,/,drone1,1,4,"container5",world,30.7694,-2.62418,0,0.0879738,0,0,0,0.0879738,0,0,0,0.2029
532764000000,/,drone2,0,3,"container4",world,27.8641,4.71903,0,0.0876573,0,0,0,0.0876573,0,0,0,0.202397
532764000000,/,drone1,1,4,"container5",world,30.7697,-2.63363,0,0.0876087,0,0,0,0.0876087,0,0,0,0.202193
