stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z
623.340000,drone3,-1,0.941684,165.159607,479.483986,4.214230,-4.923426,0.000000,container1,7.333575,-5.268785,-2.061112,-3.119345,0.345359,2.061112,3.754699,-2.366184,-0.165064,-0.422740
623.340000,drone3,-1,0.932670,535.433655,65.018661,15.136496,-14.536448,0.000000,container5,16.846592,-15.268622,-2.054870,-1.710095,0.732174,2.054870,2.771822,-2.366184,-0.165064,-0.422740
623.404000,drone3,-1,0.941638,165.274078,479.463371,4.213981,-4.926233,0.000000,container1,7.332520,-5.268983,-2.059206,-3.118539,0.342750,2.059206,3.752745,-2.366223,-0.165046,-0.419186
623.404000,drone3,-1,0.934741,535.519043,65.470604,15.124921,-14.539514,0.000000,container5,16.845540,-15.268801,-2.057263,-1.720619,0.729287,2.057263,2.779338,-2.366223,-0.165046,-0.419186
623.472000,drone3,-1,0.941427,165.154907,479.503204,4.211839,-4.922809,0.000000,container1,7.331996,-5.269081,-2.058016,-3.120156,0.346272,2.058016,3.753759,-2.365882,-0.165013,-0.417203
623.472000,drone3,-1,0.935207,535.895630,65.854767,15.115037,-14.550175,0.000000,container5,16.845014,-15.268890,-2.058228,-1.729977,0.718714,2.058228,2.783105,-2.365882,-0.165013,-0.417203
623.504000,drone3,-1,0.941397,165.254410,479.778595,4.204033,-4.925292,0.000000,container1,7.330953,-5.269276,-2.055164,-3.126921,0.343984,2.055164,3.757613,-2.365716,-0.164995,-0.416670
623.504000,drone3,-1,0.934401,535.613220,66.337448,15.102263,-14.543167,0.000000,container5,16.843960,-15.269067,-2.059692,-1.741697,0.725899,2.059692,2.793344,-2.365716,-0.164995,-0.416670
623.572000,drone3,-1,0.942989,165.011383,479.733398,4.204483,-4.918416,0.000000,container1,7.330435,-5.269373,-2.053504,-3.125952,0.350957,2.053504,3.756545,-2.365504,-0.164969,-0.412754
623.572000,drone3,-1,0.934608,535.861328,66.174828,15.106745,-14.549886,0.000000,container5,16.843433,-15.269155,-2.060191,-1.736687,0.719269,2.060191,2.788874,-2.365504,-0.164969,-0.412754
623.604000,drone3,-1,0.942529,164.991882,479.709267,4.205490,-4.917518,0.000000,container1,7.329407,-5.269564,-2.049721,-3.123917,0.352046,2.049721,3.752885,-2.365325,-0.164951,-0.411840
623.604000,drone3,-1,0.932518,535.608276,66.064911,15.110047,-14.542940,0.000000,container5,16.842380,-15.269329,-2.060721,-1.732333,0.726390,2.060721,2.788402,-2.365325,-0.164951,-0.411840
623.668000,drone3,-1,0.941353,164.714050,479.465240,4.212861,-4.909860,0.000000,container1,7.328897,-5.269659,-2.047598,-3.116036,0.359799,2.047598,3.745904,-2.365111,-0.164929,-0.406846
623.668000,drone3,-1,0.934296,535.312256,66.067932,15.110834,-14.534760,0.000000,container5,16.841854,-15.269416,-2.060751,-1.731020,0.734656,2.060751,2.789775,-2.365111,-0.164929,-0.406846
