stamp,track_id,class,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aq_range_est,aq_range_gt,aq_range_err
622.944000,1,-1,drone3,15.112385,-14.545638,0.000000,container5,16.852265,-15.267642,-2.030975,-1.739880,0.722004,2.030975,2.770078,22.596610,24.490489,-1.893879
622.944000,0,-1,drone3,4.213133,-4.927803,0.000000,container1,7.339441,-5.267680,-2.060220,-3.126308,0.339877,2.060220,3.759498,8.087922,11.130629,-3.042707
622.976000,1,-1,drone3,15.109669,-14.544375,0.000000,container5,16.851761,-15.267730,-2.033875,-1.742091,0.723356,2.033875,2.773945,22.593853,24.490536,-1.896683
622.976000,0,-1,drone3,4.214529,-4.930246,0.000000,container1,7.338907,-5.267781,-2.061096,-3.124378,0.337535,2.061096,3.758162,8.090633,11.130544,-3.039910
623.044000,1,-1,drone3,15.102175,-14.539753,0.000000,container5,16.851254,-15.267819,-2.036634,-1.749079,0.728066,2.036634,2.781588,22.585342,24.490641,-1.905300
623.044000,0,-1,drone3,4.216633,-4.934460,0.000000,container1,7.338372,-5.267882,-2.061813,-3.121739,0.333422,2.061813,3.755995,8.095026,11.130513,-3.035487
623.076000,0,-1,drone3,4.217535,-4.935551,0.000000,container1,7.337303,-5.268084,-2.062772,-3.119768,0.332532,2.062772,3.754805,8.096622,11.130104,-3.033482
623.076000,1,-1,drone3,15.098889,-14.538442,0.000000,container5,16.850232,-15.267997,-2.041720,-1.751343,0.729555,2.041720,2.787127,22.582180,24.490589,-1.908408
623.140000,0,-1,drone3,4.219018,-4.937913,0.000000,container1,7.336768,-5.268184,-2.063013,-3.117750,0.330271,2.063013,3.753061,8.099353,11.129896,-3.030543
623.140000,1,-1,drone3,15.093267,-14.534994,0.000000,container5,16.849717,-15.268086,-2.044046,-1.756450,0.733092,2.044046,2.792967,22.575787,24.490577,-1.914790
623.176000,0,-1,drone3,4.219759,-4.938147,0.000000,container1,7.335700,-5.268386,-2.063017,-3.115941,0.330238,2.063017,3.751558,8.100315,11.129305,-3.028990
623.176000,1,-1,drone3,15.091763,-14.533582,0.000000,container5,16.848682,-15.268265,-2.048254,-1.756919,0.734682,2.048254,2.796760,22.573936,24.490438,-1.916501
623.240000,0,-1,drone3,4.220445,-4.940294,0.000000,container1,7.335167,-5.268486,-2.062780,-3.114722,0.328192,2.062780,3.750235,8.102269,11.129006,-3.026737
623.240000,1,-1,drone3,15.089929,-14.529380,0.000000,container5,16.848161,-15.268354,-2.050135,-1.758233,0.738975,2.050135,2.800092,22.569991,24.490381,-1.920391
623.272000,0,-1,drone3,4.220357,-4.940072,0.000000,container1,7.334104,-5.268686,-2.061827,-3.113747,0.328613,2.061827,3.748939,8.102286,11.128237,-3.025950
623.272000,1,-1,drone3,15.091964,-14.528159,0.000000,container5,16.847116,-15.268533,-2.053443,-1.755151,0.740374,2.053443,2.800954,22.570995,24.490156,-1.919161
623.340000,0,-1,drone3,4.220674,-4.941893,0.000000,container1,7.333047,-5.268884,-2.060238,-3.112373,0.326992,2.060238,3.746781,8.103819,11.127351,-3.023532
623.340000,1,-1,drone3,15.092529,-14.525042,0.000000,container5,16.846066,-15.268712,-2.056143,-1.753537,0.743669,2.056143,2.802795,22.569658,24.489873,-1.920216
623.404000,0,-1,drone3,4.220772,-4.943365,0.000000,container1,7.332520,-5.268983,-2.059206,-3.111748,0.325618,2.059206,3.745575,8.104969,11.126983,-3.022014
623.404000,1,-1,drone3,15.092441,-14.523095,0.000000,container5,16.845540,-15.268801,-2.057263,-1.753099,0.745706,2.057263,2.803883,22.568554,24.489812,-1.921258
623.472000,0,-1,drone3,4.220537,-4.944162,0.000000,container1,7.331996,-5.269081,-2.058016,-3.111459,0.324920,2.058016,3.744620,8.105381,11.126506,-3.021125
623.472000,1,-1,drone3,15.091315,-14.522791,0.000000,container5,16.845014,-15.268890,-2.058228,-1.753699,0.746099,2.058228,2.805071,22.567621,24.489668,-1.922047
623.504000,0,-1,drone3,4.218902,-4.943372,0.000000,container1,7.330953,-5.269276,-2.055164,-3.112051,0.325904,2.055164,3.743632,8.103800,11.125391,-3.021591
623.504000,1,-1,drone3,15.090862,-14.523630,0.000000,container5,16.843960,-15.269067,-2.059692,-1.753097,0.745437,2.059692,2.805594,22.567996,24.489271,-1.921275
623.572000,0,-1,drone3,4.217747,-4.943251,0.000000,container1,7.330435,-5.269373,-2.053504,-3.112688,0.326122,2.053504,3.743269,8.102928,11.124830,-3.021902
623.572000,1,-1,drone3,15.089194,-14.523644,0.000000,container5,16.843433,-15.269155,-2.060191,-1.754239,0.745511,2.060191,2.806693,22.566842,24.489084,-1.922242
623.604000,0,-1,drone3,4.216520,-4.941462,0.000000,container1,7.329407,-5.269564,-2.049721,-3.112887,0.328103,2.049721,3.741533,8.101161,11.123626,-3.022465
623.604000,1,-1,drone3,15.090055,-14.524534,0.000000,container5,16.842380,-15.269329,-2.060721,-1.752325,0.744795,2.060721,2.805696,22.568325,24.488669,-1.920344
623.668000,0,-1,drone3,4.216465,-4.939943,0.000000,container1,7.328897,-5.269659,-2.047598,-3.112432,0.329716,2.047598,3.740134,8.100367,11.122984,-3.022617
623.668000,1,-1,drone3,15.089518,-14.523108,0.000000,container5,16.841854,-15.269416,-2.060751,-1.752336,0.746308,2.060751,2.806127,22.567131,24.488440,-1.921309
623.736000,0,-1,drone3,4.215420,-4.938757,0.000000,container1,7.327887,-5.269846,-2.042899,-3.112467,0.331089,2.042899,3.737714,8.099027,11.121547,-3.022520
623.736000,1,-1,drone3,15.091924,-14.522114,0.000000,container5,16.840806,-15.269588,-2.060342,-1.748881,0.747475,2.060342,2.803982,22.568549,24.487878,-1.919329
623.768000,0,-1,drone3,4.215305,-4.936201,0.000000,container1,7.327386,-5.269939,-2.040325,-3.112081,0.333738,2.040325,3.736222,8.097578,11.120827,-3.023249
623.768000,1,-1,drone3,15.094560,-14.522328,0.000000,container5,16.840283,-15.269674,-2.059903,-1.745723,0.747346,2.059903,2.801656,22.570847,24.487609,-1.916763
623.836000,0,-1,drone3,4.215600,-4.934578,0.000000,container1,7.326890,-5.270031,-2.037602,-3.111289,0.335453,2.037602,3.734230,8.097070,11.120155,-3.023085
623.836000,1,-1,drone3,15.093549,-14.521940,0.000000,container5,16.839762,-15.269758,-2.059308,-1.746213,0.747818,2.059308,2.801650,22.570001,24.487389,-1.917388
623.900000,0,-1,drone3,4.215780,-4.933071,0.000000,container1,7.325907,-5.270212,-2.031718,-3.110126,0.337141,2.031718,3.730205,8.096535,11.118520,-3.021985
623.900000,1,-1,drone3,15.092209,-14.522026,0.000000,container5,16.838724,-15.269926,-2.057652,-1.746515,0.747900,2.057652,2.800644,22.569199,24.486723,-1.917524
623.932000,0,-1,drone3,4.215897,-4.930990,0.000000,container1,7.325421,-5.270301,-2.028560,-3.109524,0.339312,2.028560,3.728180,8.095549,11.117703,-3.022155
623.932000,1,-1,drone3,15.093114,-14.523196,0.000000,container5,16.838208,-15.270009,-2.056592,-1.745094,0.746813,2.056592,2.798688,22.570760,24.486402,-1.915642
624.000000,0,-1,drone3,4.216234,-4.930124,0.000000,container1,7.324462,-5.270477,-2.021818,-3.108228,0.340353,2.021818,3.723530,8.095511,11.115932,-3.020421
624.000000,1,-1,drone3,15.094473,-14.523669,0.000000,container5,16.837183,-15.270172,-2.054009,-1.742710,0.746504,2.054009,2.795221,22.572289,24.485663,-1.913374
624.032000,0,-1,drone3,4.216474,-4.928909,0.000000,container1,7.323989,-5.270563,-2.018239,-3.107515,0.341654,2.018239,3.721111,8.095127,11.115049,-3.019922
624.032000,1,-1,drone3,15.097906,-14.525170,0.000000,container5,16.836673,-15.270253,-2.052488,-1.738767,0.745082,2.052488,2.791266,22.576015,24.485305,-1.909291
624.100000,0,-1,drone3,4.216606,-4.927958,0.000000,container1,7.323055,-5.270733,-2.010673,-3.106449,0.342775,2.010673,3.716225,8.094871,11.113151,-3.018280
624.100000,1,-1,drone3,15.098491,-14.526511,0.000000,container5,16.835662,-15.270412,-2.048991,-1.737171,0.743900,2.048991,2.787385,22.577492,24.484496,-1.907004
624.164000,0,-1,drone3,4.216534,-4.927032,0.000000,container1,7.322596,-5.270817,-2.006690,-3.106062,0.343785,2.006690,3.713841,8.094399,11.112207,-3.017808
624.164000,1,-1,drone3,15.099164,-14.527367,0.000000,container5,16.835161,-15.270490,-2.047017,-1.735997,0.743123,2.047017,2.784995,22.578670,24.484104,-1.905433
624.196000,0,-1,drone3,4.216417,-4.926061,0.000000,container1,7.321690,-5.270980,-1.998335,-3.105273,0.344919,1.998335,3.708778,8.093988,11.110263,-3.016274
624.196000,1,-1,drone3,15.100288,-14.529354,0.000000,container5,16.834168,-15.270643,-2.042623,-1.733880,0.741289,2.042623,2.779956,22.581028,24.483287,-1.902258
624.264000,0,-1,drone3,4.216612,-4.924438,0.000000,container1,7.321245,-5.271060,-1.993967,-3.104634,0.346622,1.993967,3.706049,8.093328,11.109263,-3.015935
624.264000,1,-1,drone3,15.101513,-14.531403,0.000000,container5,16.833676,-15.270718,-2.040205,-1.732163,0.739315,2.040205,2.776583,22.583389,24.482863,-1.899473
624.296000,0,-1,drone3,4.216950,-4.922833,0.000000,container1,7.320370,-5.271217,-1.984864,-3.103420,0.348384,1.984864,3.700307,8.092916,11.107213,-3.014297
624.296000,1,-1,drone3,15.101877,-14.535015,0.000000,container5,16.832703,-15.270866,-2.034935,-1.730826,0.735852,2.034935,2.770956,22.586185,24.481983,-1.895798
624.396000,0,-1,drone3,4.217029,-4.920702,0.000000,container1,7.319516,-5.271369,-1.975285,-3.102487,0.350668,1.975285,3.694610,8.091865,11.104965,-3.013099
624.396000,1,-1,drone3,15.101458,-14.538598,0.000000,container5,16.831745,-15.271010,-2.029095,-1.730287,0.732412,2.029095,2.765420,22.588243,24.480950,-1.892707
624.428000,0,-1,drone3,4.216367,-4.918676,0.000000,container1,7.319097,-5.271444,-1.970324,-3.102730,0.352768,1.970324,3.692364,8.090333,11.103954,-3.013621
624.428000,1,-1,drone3,15.101737,-14.542326,0.000000,container5,16.831272,-15.271080,-2.025965,-1.729535,0.728754,2.025965,2.761686,22.590990,24.480535,-1.889545
