stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
257964000000,/,drone1,29,0,"container1",world,10.6441,-4.91192,0,0.087952,0,0,0,0.087952,0,0,0,0.202703
257964000000,/,drone2,30,0,"container1",world,10.8634,-4.8075,0,0.0972685,0,0,0,0.0972685,0,0,0,0.222276
258036000000,/,drone2,26,2,"container3",world,10.6476,9.71698,0,0.0978249,0,0,0,0.0978249,0,0,0,0.225344
258036000000,/,drone2,28,1,"container2",world,12.3872,2.93155,0,0.10055,0,0,0,0.10055,0,0,0,0.232973
258036000000,/,drone1,29,0,"container1",world,10.6395,-4.91397,0,0.088028,0,0,0,0.088028,0,0,0,0.202843
258036000000,/,drone2,30,0,"container1",world,10.8569,-4.80766,0,0.0965121,0,0,0,0.0965121,0,0,0,0.221104
258100000000,/,drone2,26,2,"container3",world,10.6446,9.73211,0,0.094599,0,0,0,0.094599,0,0,0,0.219454
258100000000,/,drone2,28,1,"container2",world,12.3838,2.92016,0,0.0976966,0,0,0,0.0976966,0,0,0,0.228064
258100000000,/,drone1,29,0,"container1",world,10.6351,-4.91573,0,0.0878395,0,0,0,0.0878395,0,0,0,0.202507
258100000000,/,drone2,30,0,"container1",world,10.8541,-4.807,0,0.0950376,0,0,0,0.0950376,0,0,0,0.21861
258196000000,/,drone2,26,2,"container3",world,10.6462,9.74116,0,0.0935815,0,0,0,0.0935815,0,0,0,0.217401
258196000000,/,drone2,28,1,"container2",world,12.383,2.91723,0,0.0969362,0,0,0,0.0969362,0,0,0,0.226742
258196000000,/,drone1,29,0,"container1",world,10.6307,-4.91753,0,0.088006,0,0,0,0.088006,0,0,0,0.20279
258196000000,/,drone2,30,0,"container1",world,10.8526,-4.80665,0,0.0942695,0,0,0,0.0942695,0,0,0,0.217303
258272000000,/,drone2,26,2,"container3",world,10.6401,9.74399,0,0.0926443,0,0,0,0.0926443,0,0,0,0.215354
258272000000,/,drone2,28,1,"container2",world,12.3807,2.9143,0,0.0960008,0,0,0,0.0960008,0,0,0,0.225105
