stamp_ns,node_ns,src_drone_ns,src_track_id,class_id,class_name,associated_track_id,is_new_track,mahalanobis_d2,association_threshold,pre_x,pre_y,pre_z,meas_x,meas_y,meas_z,post_x,post_y,post_z,pre_cov_det,meas_cov_det,post_cov_det,omega_used
123284000000,/,drone2,1,1,"container2",14,0,0.000979089,8,13.4056,3.4943,0,13.4266,3.49655,0,13.4077,3.49453,0,0.101482,0.00381154,0.0823997,0.0361991
123388000000,/,drone2,0,0,"container1",0,0,0.00428398,8,11.8934,-5.68041,0,11.8795,-5.65672,0,11.8864,-5.66854,0,0.00156969,0.00157845,0.00157407,0.50139
123388000000,/,drone2,1,1,"container2",14,0,0.000834329,8,13.4077,3.49453,0,13.4266,3.49655,0,13.4098,3.49475,0,0.0823997,0.00381154,0.0656012,0.0442116
123488000000,/,drone2,0,0,"container1",0,0,0.00278588,8,11.8864,-5.66854,0,11.8778,-5.64811,0,11.8821,-5.65829,0,0.00157407,0.00159012,0.00158211,0.502536
123488000000,/,drone2,1,1,"container2",14,0,0.000692731,8,13.4098,3.49475,0,13.4266,3.49655,0,13.412,3.49499,0,0.0656012,0.00381154,0.0510951,0.0549112
123596000000,/,drone2,0,0,"container1",0,0,0.00375877,8,11.8821,-5.65829,0,11.8669,-5.63756,0,11.8746,-5.64799,0,0.00158211,0.00155451,0.00156835,0.495599
123596000000,/,drone2,1,1,"container2",14,0,0.00169661,8,13.412,3.49499,0,13.4058,3.46793,0,13.4103,3.48759,0,0.0510951,0.012912,0.0365478,0.201727
123700000000,/,drone2,0,0,"container1",0,0,0.00683794,8,11.8746,-5.64799,0,11.849,-5.62454,0,11.8618,-5.63629,0,0.00156835,0.00155698,0.00156267,0.498182
123700000000,/,drone2,1,1,"container2",14,0,0.00612185,8,13.4103,3.48759,0,13.3845,3.44523,0,13.4034,3.47623,0,0.0365478,0.00838443,0.02613,0.186602
123800000000,/,drone2,0,0,"container1",0,0,0.00788537,8,11.8618,-5.63629,0,11.833,-5.61268,0,11.8474,-5.62448,0,0.00156267,0.00156639,0.00156453,0.500593
123800000000,/,drone2,1,1,"container2",14,0,0.00349531,8,13.4034,3.47623,0,13.3845,3.44523,0,13.3974,3.46645,0,0.02613,0.00838443,0.0190041,0.242926
123900000000,/,drone2,0,0,"container1",0,0,0.0283166,8,11.8474,-5.62448,0,11.7873,-5.58751,0,11.8174,-5.60599,0,0.00156453,0.00156511,0.00156482,0.500093
123900000000,/,drone2,1,1,"container2",14,0,0.00173594,8,13.3974,3.46645,0,13.3845,3.44523,0,13.3927,3.45872,0,0.0190041,0.00838443,0.0144337,0.306129
124016000000,/,drone2,0,0,"container1",0,0,0.0347911,8,11.8174,-5.60599,0,11.7478,-5.57018,0,11.7825,-5.58803,0,0.00156482,0.00157972,0.00157228,0.502369
124016000000,/,drone2,1,1,"container2",14,0,0.00534252,8,13.3927,3.45872,0,13.3587,3.42334,0,13.3704,3.43555,0,0.0144337,0.0395493,0.0291537,0.732624
124136000000,/,drone2,0,0,"container1",0,0,0.0405447,8,11.7825,-5.58803,0,11.7054,-5.55312,0,11.7438,-5.57051,0,0.00157228,0.0015912,0.00158176,0.50299
124136000000,/,drone2,1,1,"container2",14,0,0.00600537,8,13.3704,3.43555,0,13.3284,3.40906,0,13.3549,3.42578,0,0.0291537,0.0124101,0.0219877,0.29858
124260000000,/,drone2,0,0,"container1",0,0,0.0509425,8,11.7438,-5.57051,0,11.6577,-5.53081,0,11.7007,-5.55063,0,0.00158176,0.00158977,0.00158577,0.501263
124260000000,/,drone2,1,1,"container2",14,0,0.0101292,8,13.3549,3.42578,0,13.3047,3.39516,0,13.3406,3.41705,0,0.0219877,0.00521174,0.0157197,0.191612
124384000000,/,drone2,0,0,"container1",0,0,0.0197713,8,11.7007,-5.55063,0,11.6474,-5.52508,0,11.6741,-5.53787,0,0.00158577,0.00157678,0.00158128,0.498579
124384000000,/,drone2,1,1,"container2",14,0,0.00775611,8,13.3406,3.41705,0,13.2987,3.39158,0,13.3277,3.40921,0,0.0157197,0.00445062,0.0113217,0.220652
124496000000,/,drone2,0,0,"container1",0,0,0.00978293,8,11.6741,-5.53787,0,11.6369,-5.51936,0,11.6556,-5.52865,0,0.00158128,0.00156493,0.00157312,0.497402
124496000000,/,drone2,1,1,"container2",14,0,0.00565301,8,13.3277,3.40921,0,13.2936,3.38842,0,13.3163,3.40228,0,0.0113217,0.00387447,0.00828556,0.254963
124580000000,/,drone2,0,0,"container1",0,0,0.0642549,8,11.6556,-5.52865,0,11.5646,-5.47379,0,11.6102,-5.50132,0,0.00157312,0.00155521,0.00156418,0.497138
124580000000,/,drone2,1,1,"container2",14,0,0.0215135,8,13.3163,3.40228,0,13.2561,3.36229,0,13.2993,3.39101,0,0.00828556,0.00200606,0.00593173,0.194922
124664000000,/,drone2,0,0,"container1",0,0,0.022291,8,11.6102,-5.50132,0,11.5598,-5.46423,0,11.585,-5.48277,0,0.00156418,0.00156483,0.0015645,0.500103
124664000000,/,drone2,1,1,"container2",14,0,0.0223046,8,13.2993,3.39101,0,13.2349,3.36161,0,13.279,3.38174,0,0.00593173,0.00184832,0.00430394,0.237571
