epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,658.488,0.3657,0.30709,0.87096,0.99786,1,0.995,0.94174,0.34234,0.23113,0.71677,0.000693042,0.000693042,0.000693042
59,668.231,0.36128,0.30901,0.8747,0.99701,1,0.995,0.94862,0.33303,0.20916,0.71048,0.000685709,0.000685709,0.000685709
60,679.765,0.36523,0.30433,0.87855,0.9977,1,0.995,0.94539,0.32983,0.20686,0.69951,0.000678377,0.000678377,0.000678377
61,691.226,0.36054,0.29561,0.87414,0.9976,1,0.995,0.94454,0.3164,0.2115,0.69168,0.000671044,0.000671044,0.000671044
62,702.893,0.34333,0.29671,0.87612,0.99714,1,0.995,0.94902,0.33103,0.21037,0.70264,0.000663711,0.000663711,0.000663711
63,714.574,0.37039,0.33134,0.86872,0.9966,0.99954,0.995,0.95046,0.33671,0.21745,0.71029,0.000656379,0.000656379,0.000656379
64,724.654,0.36675,0.30262,0.87395,0.99722,1,0.995,0.94996,0.31714,0.20624,0.70097,0.000649046,0.000649046,0.000649046
65,736.267,0.35658,0.28373,0.86383,0.99693,1,0.995,0.94495,0.32827,0.21158,0.70608,0.000641714,0.000641714,0.000641714
66,747.921,0.3644,0.27812,0.87363,0.99781,1,0.995,0.95188,0.32009,0.19624,0.69914,0.000634381,0.000634381,0.000634381
67,759.498,0.3667,0.29132,0.86931,0.99771,1,0.995,0.95656,0.31316,0.19998,0.69603,0.000627048,0.000627048,0.000627048
68,771.003,0.3491,0.27902,0.86849,0.99565,1,0.995,0.95265,0.32434,0.20184,0.70563,0.000619716,0.000619716,0.000619716
69,781.316,0.3505,0.29376,0.87803,0.9969,1,0.995,0.94881,0.31968,0.19997,0.69757,0.000612383,0.000612383,0.000612383
70,792.725,0.34828,0.26499,0.86765,0.99494,0.99998,0.995,0.94581,0.32906,0.19293,0.70729,0.000605051,0.000605051,0.000605051
71,804.216,0.3428,0.2847,0.86487,0.9967,1,0.995,0.95095,0.31157,0.20147,0.70407,0.000597718,0.000597718,0.000597718
72,815.871,0.34664,0.26616,0.87062,0.99748,1,0.995,0.94454,0.33433,0.21725,0.70592,0.000590385,0.000590385,0.000590385
73,827.588,0.35064,0.2805,0.86757,0.99779,1,0.995,0.95342,0.31548,0.19484,0.69313,0.000583053,0.000583053,0.000583053
74,837.673,0.33166,0.27692,0.86683,0.9974,1,0.995,0.95364,0.31098,0.18984,0.69472,0.00057572,0.00057572,0.00057572
75,849.189,0.3365,0.25949,0.87044,0.99799,1,0.995,0.95266,0.31428,0.18765,0.69276,0.000568388,0.000568388,0.000568388
76,860.769,0.33252,0.30958,0.876,0.99813,1,0.995,0.95038,0.31357,0.19105,0.69727,0.000561055,0.000561055,0.000561055
77,872.488,0.33895,0.26475,0.86703,0.99732,1,0.995,0.94809,0.31737,0.19667,0.69946,0.000553722,0.000553722,0.000553722
78,883.544,0.33357,0.26377,0.87232,0.99753,1,0.995,0.94567,0.32425,0.21056,0.69634,0.00054639,0.00054639,0.00054639
79,893.844,0.34418,0.2892,0.87725,0.99749,1,0.995,0.9473,0.31997,0.19363,0.69153,0.000539057,0.000539057,0.000539057
80,905.425,0.33904,0.27249,0.867,0.99796,1,0.995,0.94699,0.32761,0.19228,0.70254,0.000531725,0.000531725,0.000531725
81,917.147,0.33728,0.27539,0.86766,0.99819,1,0.995,0.95957,0.29624,0.1887,0.69319,0.000524392,0.000524392,0.000524392
82,928.981,0.3412,0.26951,0.87078,0.99789,1,0.995,0.94826,0.31843,0.19084,0.69406,0.000517059,0.000517059,0.000517059
83,940.514,0.34573,0.27925,0.86961,0.99789,1,0.995,0.95714,0.30307,0.18687,0.69032,0.000509727,0.000509727,0.000509727
84,951.035,0.32889,0.25521,0.86147,0.99742,1,0.995,0.95694,0.30843,0.18562,0.69765,0.000502394,0.000502394,0.000502394
85,962.243,0.32229,0.25244,0.86854,0.99756,1,0.995,0.95569,0.3082,0.18054,0.69871,0.000495062,0.000495062,0.000495062
86,973.994,0.33726,0.25971,0.87344,0.99684,1,0.995,0.95075,0.3084,0.18641,0.70202,0.000487729,0.000487729,0.000487729
87,985.707,0.32431,0.2553,0.86271,0.99687,1,0.995,0.95906,0.30814,0.17329,0.70061,0.000480396,0.000480396,0.000480396
88,997.63,0.33568,0.25512,0.86641,0.99688,1,0.995,0.96423,0.29402,0.18096,0.70013,0.000473064,0.000473064,0.000473064
89,1008.42,0.32641,0.24665,0.85588,0.99735,1,0.995,0.96057,0.2988,0.18169,0.69931,0.000465731,0.000465731,0.000465731
90,1019.19,0.31708,0.2651,0.87349,0.99761,1,0.995,0.94795,0.3172,0.18539,0.70093,0.000458399,0.000458399,0.000458399
91,1030.77,0.31621,0.38458,0.84569,0.99792,1,0.995,0.9519,0.31051,0.17705,0.69378,0.000451066,0.000451066,0.000451066
92,1042.64,0.32176,0.26613,0.86406,0.99771,1,0.995,0.952,0.30084,0.17505,0.69132,0.000443733,0.000443733,0.000443733
93,1054.55,0.3272,0.24509,0.86403,0.99743,1,0.995,0.94379,0.3109,0.18195,0.69876,0.000436401,0.000436401,0.000436401
94,1065.7,0.32178,0.25356,0.86603,0.99763,1,0.995,0.95473,0.30361,0.18097,0.69114,0.000429068,0.000429068,0.000429068
95,1076.23,0.31634,0.24725,0.86,0.99814,1,0.995,0.95573,0.30746,0.17274,0.6935,0.000421736,0.000421736,0.000421736
96,1087.84,0.32538,0.25925,0.87311,0.99771,1,0.995,0.95367,0.31512,0.18364,0.69714,0.000414403,0.000414403,0.000414403
97,1099.49,0.32238,0.24816,0.86782,0.99778,1,0.995,0.95726,0.30187,0.18497,0.69617,0.00040707,0.00040707,0.00040707
98,1111.26,0.32727,0.25118,0.85324,0.99805,1,0.995,0.95241,0.3155,0.17785,0.69229,0.000399738,0.000399738,0.000399738
99,1123.25,0.31716,0.22822,0.8575,0.99814,1,0.995,0.95221,0.29568,0.17285,0.68949,0.000392405,0.000392405,0.000392405
100,1133.39,0.32291,0.24779,0.86747,0.99772,1,0.995,0.95192,0.30607,0.17123,0.69211,0.000385073,0.000385073,0.000385073
101,1145.1,0.32527,0.23614,0.86381,0.99758,1,0.995,0.96177,0.31816,0.166,0.69895,0.00037774,0.00037774,0.00037774
102,1156.68,0.32097,0.24032,0.87068,0.99778,1,0.995,0.95712,0.3006,0.16754,0.68997,0.000370407,0.000370407,0.000370407
103,1168.57,0.30542,0.22746,0.86236,0.99768,1,0.995,0.95448,0.29541,0.15679,0.68747,0.000363075,0.000363075,0.000363075
104,1180.24,0.30752,0.22056,0.86169,0.99792,1,0.995,0.9561,0.29475,0.16173,0.69372,0.000355742,0.000355742,0.000355742
105,1190.89,0.31117,0.22922,0.85954,0.99756,1,0.995,0.94813,0.31202,0.17449,0.69755,0.00034841,0.00034841,0.00034841
106,1202.18,0.32465,0.23612,0.86008,0.99716,1,0.995,0.95431,0.30812,0.17178,0.69897,0.000341077,0.000341077,0.000341077
107,1213.77,0.32056,0.23928,0.86388,0.99749,1,0.995,0.95494,0.294,0.16555,0.69269,0.000333744,0.000333744,0.000333744
108,1225.64,0.31121,0.22892,0.85889,0.99791,1,0.995,0.96064,0.29304,0.16257,0.6885,0.000326412,0.000326412,0.000326412
109,1237.23,0.30842,0.23235,0.86348,0.99752,1,0.995,0.95594,0.3054,0.16153,0.69106,0.000319079,0.000319079,0.000319079
110,1247.56,0.32386,0.22884,0.86636,0.99745,1,0.995,0.9543,0.30722,0.16197,0.69601,0.000311747,0.000311747,0.000311747
111,1258.97,0.30511,0.23279,0.87007,0.99762,1,0.995,0.95573,0.31,0.16254,0.69365,0.000304414,0.000304414,0.000304414
112,1270.76,0.30394,0.22258,0.85857,0.9978,1,0.995,0.95672,0.30164,0.16878,0.69818,0.000297081,0.000297081,0.000297081
113,1282.51,0.30258,0.2213,0.85173,0.99752,1,0.995,0.95679,0.30255,0.1555,0.7001,0.000289749,0.000289749,0.000289749
114,1294.39,0.29722,0.21591,0.86025,0.9975,1,0.995,0.9631,0.29395,0.15665,0.69811,0.000282416,0.000282416,0.000282416
115,1305.3,0.29928,0.21263,0.86287,0.99789,1,0.995,0.96089,0.29748,0.15759,0.6936,0.000275084,0.000275084,0.000275084
116,1316.42,0.29544,0.21837,0.85958,0.9981,1,0.995,0.95902,0.30254,0.15729,0.69335,0.000267751,0.000267751,0.000267751
117,1328.22,0.29781,0.21658,0.86145,0.99772,1,0.995,0.95829,0.30028,0.15292,0.69337,0.000260418,0.000260418,0.000260418
118,1339.89,0.29741,0.21577,0.8711,0.99778,1,0.995,0.95764,0.30689,0.16591,0.69614,0.000253086,0.000253086,0.000253086
119,1351.55,0.29732,0.22162,0.86036,0.99778,1,0.995,0.95588,0.30098,0.1608,0.69227,0.000245753,0.000245753,0.000245753
120,1363.03,0.28651,0.21051,0.85363,0.99793,1,0.995,0.96553,0.2885,0.15481,0.68542,0.000238421,0.000238421,0.000238421
121,1374,0.29681,0.21742,0.85883,0.99789,1,0.995,0.95762,0.29069,0.14932,0.68641,0.000231088,0.000231088,0.000231088
122,1386.45,0.30328,0.21756,0.87008,0.99802,1,0.995,0.96395,0.2909,0.14998,0.68422,0.000223755,0.000223755,0.000223755
123,1398.26,0.28937,0.21925,0.85511,0.99791,1,0.995,0.9639,0.28953,0.15111,0.68612,0.000216423,0.000216423,0.000216423
124,1410.28,0.29776,0.21592,0.85868,0.99789,1,0.995,0.9635,0.29363,0.1472,0.68463,0.00020909,0.00020909,0.00020909
