stamp,drone,source,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz
0.440000,drone3,raw,0.982639,0.599931,1.397664,0.000022,-0.005472,-0.000000,0.999985,-0.000001,0.004500,-0.000127,0.654414
0.440000,drone2,raw,0.982089,-0.000071,1.402904,0.000022,-0.005628,-0.000000,0.999984,-0.000001,0.004704,-0.000127,0.654354
0.440000,drone1,raw,0.982639,-0.600069,1.397613,0.000021,-0.005472,-0.000000,0.999985,-0.000001,0.004500,-0.000127,0.654299
0.460000,drone3,raw,0.983863,0.599922,1.415241,0.000025,-0.005081,-0.000000,0.999987,-0.000001,0.048419,-0.000298,0.807217
0.460000,drone2,raw,0.983317,-0.000080,1.420478,0.000025,-0.005237,-0.000000,0.999986,-0.000001,0.048810,-0.000298,0.807089
0.460000,drone1,raw,0.983863,-0.600078,1.415183,0.000024,-0.005081,-0.000000,0.999987,-0.000001,0.048414,-0.000298,0.806966
0.480000,drone3,raw,0.985884,0.599909,1.435178,0.000029,-0.004439,-0.000000,0.999990,-0.000001,0.090423,-0.000514,0.937013
0.480000,drone2,raw,0.985345,-0.000093,1.440411,0.000029,-0.004595,-0.000000,0.999989,-0.000001,0.090989,-0.000515,0.936798
0.480000,drone1,raw,0.985883,-0.600091,1.435110,0.000028,-0.004439,-0.000000,0.999990,-0.000001,0.090412,-0.000515,0.936589
0.500000,drone2,raw,0.988047,-0.000111,1.462179,0.000035,-0.003740,-0.000000,0.999993,-0.000001,0.127534,-0.000715,1.041418
0.500000,drone1,raw,0.988576,-0.600109,1.456870,0.000034,-0.003584,-0.000000,0.999994,-0.000001,0.126799,-0.000714,1.041128
0.500000,drone3,raw,0.988577,0.599891,1.456952,0.000034,-0.003584,-0.000000,0.999994,-0.000001,0.126815,-0.000713,1.041715
0.520000,drone3,raw,0.991772,0.599871,1.480015,0.000041,-0.002571,-0.000001,0.999997,-0.000001,0.154920,-0.000863,1.119883
0.520000,drone2,raw,0.991252,-0.000131,1.485235,0.000041,-0.002727,-0.000001,0.999996,-0.000001,0.155758,-0.000866,1.119523
0.520000,drone1,raw,0.991770,-0.600129,1.479918,0.000040,-0.002571,-0.000001,0.999997,-0.000001,0.154900,-0.000864,1.119168
0.540000,drone3,raw,0.995265,0.599850,1.503817,0.000048,-0.001462,-0.000001,0.999999,-0.000002,0.172917,-0.000943,1.170808
0.540000,drone2,raw,0.994757,-0.000153,1.509030,0.000048,-0.001618,-0.000001,0.999999,-0.000002,0.173837,-0.000946,1.170411
0.540000,drone1,raw,0.995264,-0.600150,1.503703,0.000047,-0.001462,-0.000001,0.999999,-0.000002,0.172894,-0.000944,1.170018
0.560000,drone2,raw,0.998348,-0.000174,1.533018,0.000055,-0.000482,-0.000001,1.000000,-0.000002,0.180983,-0.000949,1.194029
0.560000,drone1,raw,0.998842,-0.600171,1.527682,0.000054,-0.000326,-0.000001,1.000000,-0.000002,0.179999,-0.000947,1.193626
0.560000,drone3,raw,0.998844,0.599829,1.527811,0.000054,-0.000326,-0.000001,1.000000,-0.000002,0.180024,-0.000946,1.194435
0.580000,drone3,raw,1.002305,0.599809,1.551472,0.000060,0.000773,-0.000001,1.000000,-0.000002,0.176526,-0.000880,1.191293
0.580000,drone2,raw,1.001820,-0.000193,1.556672,0.000061,0.000617,-0.000001,1.000000,-0.000002,0.177481,-0.000882,1.190906
0.580000,drone1,raw,1.002302,-0.600191,1.551327,0.000060,0.000773,-0.000001,1.000000,-0.000002,0.176501,-0.000881,1.190520
0.600000,drone2,raw,1.004995,-0.000210,1.579494,0.000066,0.001622,-0.000001,0.999999,-0.000002,0.164559,-0.000765,1.162109
0.600000,drone1,raw,1.005466,-0.600208,1.574141,0.000065,0.001778,-0.000001,0.999998,-0.000002,0.163624,-0.000764,1.161761
0.600000,drone3,raw,1.005469,0.599792,1.574299,0.000066,0.001778,-0.000001,0.999998,-0.000002,0.163647,-0.000762,1.162456
0.620000,drone3,raw,1.008199,0.599779,1.595831,0.000070,0.002645,-0.000001,0.999996,-0.000002,0.143296,-0.000619,1.109502
0.620000,drone2,raw,1.007734,-0.000224,1.601021,0.000071,0.002489,-0.000001,0.999997,-0.000002,0.144132,-0.000621,1.109206
0.620000,drone1,raw,1.008196,-0.600221,1.595663,0.000070,0.002645,-0.000001,0.999996,-0.000002,0.143276,-0.000620,1.108909
0.640000,drone3,raw,1.010400,0.599768,1.615652,0.000074,0.003343,-0.000001,0.999994,-0.000002,0.117746,-0.000476,1.034477
0.640000,drone1,raw,1.010396,-0.600232,1.615476,0.000073,0.003343,-0.000001,0.999994,-0.000002,0.117731,-0.000477,1.033991
0.640000,drone2,raw,1.009943,-0.000235,1.620839,0.000074,0.003187,-0.000001,0.999995,-0.000002,0.118480,-0.000477,1.034236
0.660000,drone3,raw,1.012023,0.599759,1.633400,0.000077,0.003856,-0.000001,0.999993,-0.000002,0.089305,-0.000353,0.939841
0.660000,drone2,raw,1.011571,-0.000244,1.638584,0.000077,0.003700,-0.000001,0.999993,-0.000002,0.089919,-0.000355,0.939648
0.660000,drone1,raw,1.012019,-0.600241,1.633216,0.000076,0.003856,-0.000001,0.999993,-0.000002,0.089295,-0.000354,0.939450
0.680000,drone3,raw,1.013056,0.599752,1.648769,0.000079,0.004180,-0.000001,0.999991,-0.000002,0.060033,-0.000267,0.828390
0.680000,drone2,raw,1.012608,-0.000251,1.653950,0.000080,0.004024,-0.000001,0.999992,-0.000002,0.060516,-0.000268,0.828233
0.680000,drone1,raw,1.013052,-0.600248,1.648579,0.000079,0.004180,-0.000001,0.999991,-0.000002,0.060028,-0.000268,0.828072
0.700000,drone2,raw,1.013072,-0.000257,1.666693,0.000082,0.004165,-0.000001,0.999991,-0.000002,0.031900,-0.000224,0.703018
0.700000,drone1,raw,1.013515,-0.600254,1.661320,0.000081,0.004322,-0.000001,0.999991,-0.000002,0.031551,-0.000224,0.702879
0.700000,drone3,raw,1.013519,0.599746,1.661515,0.000081,0.004322,-0.000001,0.999991,-0.000002,0.031552,-0.000223,0.703155
0.720000,drone3,raw,1.013449,0.599739,1.671458,0.000084,0.004292,-0.000001,0.999991,-0.000002,0.004955,-0.000223,0.567285
0.720000,drone2,raw,1.013002,-0.000263,1.676633,0.000084,0.004136,-0.000001,0.999991,-0.000002,0.005168,-0.000224,0.567155
0.720000,drone1,raw,1.013445,-0.600261,1.671258,0.000083,0.004292,-0.000001,0.999991,-0.000002,0.004957,-0.000224,0.567023
0.740000,drone3,raw,1.012897,0.599732,1.678478,0.000086,0.004107,-0.000001,0.999992,-0.000002,-0.019178,-0.000263,0.423935
0.740000,drone2,raw,1.012448,-0.000270,1.683651,0.000086,0.003951,-0.000001,0.999992,-0.000002,-0.019094,-0.000264,0.423797
0.740000,drone1,raw,1.012893,-0.600268,1.678272,0.000085,0.004107,-0.000001,0.999992,-0.000002,-0.019173,-0.000264,0.423657
0.760000,drone2,raw,1.011462,-0.000279,1.687686,0.000089,0.003629,-0.000001,0.999993,-0.000002,-0.040700,-0.000339,0.275998
0.760000,drone1,raw,1.011910,-0.600276,1.682304,0.000088,0.003784,-0.000001,0.999993,-0.000002,-0.040655,-0.000339,0.275837
0.760000,drone3,raw,1.011914,0.599724,1.682517,0.000089,0.003785,-0.000001,0.999993,-0.000002,-0.040662,-0.000338,0.276156
0.780000,drone3,raw,1.010554,0.599714,1.683570,0.000092,0.003341,-0.000001,0.999994,-0.000002,-0.059557,-0.000442,0.126849
0.780000,drone2,raw,1.010097,-0.000289,1.688734,0.000093,0.003185,-0.000001,0.999995,-0.000002,-0.059709,-0.000444,0.126661
0.780000,drone1,raw,1.010550,-0.600286,1.683348,0.000090,0.003335,-0.000001,0.999994,-0.000002,-0.059548,-0.000442,0.126462
0.800000,drone3,raw,1.008870,0.599701,1.681687,0.000096,0.002790,-0.000001,0.999996,-0.000002,-0.075997,-0.000570,-0.021244
0.800000,drone2,raw,1.008408,-0.000302,1.686846,0.000097,0.002639,-0.000001,0.999997,-0.000002,-0.076253,-0.000572,-0.021460
0.800000,drone1,raw,1.008867,-0.600299,1.681455,0.000091,0.002778,-0.000001,0.999996,-0.000002,-0.075987,-0.000570,-0.021712
0.820000,drone3,raw,1.006919,0.599686,1.676969,0.000101,0.002149,-0.000001,0.999998,-0.000002,-0.090037,-0.000716,-0.165495
0.820000,drone2,raw,1.006450,-0.000316,1.682123,0.000102,0.002007,-0.000001,0.999998,-0.000002,-0.090385,-0.000718,-0.165734
0.820000,drone1,raw,1.006915,-0.600314,1.676726,0.000091,0.002132,-0.000001,0.999998,-0.000002,-0.090030,-0.000713,-0.166044
0.840000,drone3,raw,1.004760,0.599669,1.669571,0.000107,0.001439,-0.000001,0.999999,-0.000002,-0.101562,-0.000872,-0.303318
0.840000,drone2,raw,1.004284,-0.000334,1.674718,0.000107,0.001309,-0.000001,0.999999,-0.000002,-0.101985,-0.000875,-0.303583
0.840000,drone1,raw,1.004757,-0.600331,1.669313,0.000091,0.001415,-0.000001,0.999999,-0.000002,-0.101562,-0.000864,-0.303951
0.860000,drone3,raw,1.002463,0.599649,1.659696,0.000114,0.000680,-0.000001,1.000000,-0.000003,-0.110283,-0.001027,-0.432124
0.860000,drone2,raw,1.001979,-0.000354,1.664837,0.000114,0.000569,-0.000001,1.000000,-0.000002,-0.110759,-0.001031,-0.432417
0.860000,drone1,raw,1.002460,-0.600351,1.659424,0.000090,0.000652,-0.000001,1.000000,-0.000003,-0.110293,-0.001012,-0.432841
0.880000,drone2,raw,0.999612,-0.000376,1.652739,0.000121,-0.000191,-0.000001,1.000000,-0.000002,-0.116313,-0.001175,-0.549584
0.880000,drone1,raw,1.000101,-0.600373,1.647316,0.000089,-0.000135,-0.000001,1.000000,-0.000003,-0.115831,-0.001144,-0.550057
0.880000,drone3,raw,1.000104,0.599627,1.647605,0.000121,-0.000101,-0.000002,1.000000,-0.000003,-0.115810,-0.001171,-0.549266
0.900000,drone3,raw,0.997764,0.599604,1.633613,0.000129,-0.000879,-0.000002,1.000000,-0.000004,-0.117764,-0.001288,-0.652037
0.900000,drone2,raw,0.997265,-0.000399,1.638740,0.000128,-0.000943,-0.000001,1.000000,-0.000003,-0.118263,-0.001292,-0.652370
0.900000,drone1,raw,0.997761,-0.600396,1.633307,0.000087,-0.000917,-0.000001,1.000000,-0.000003,-0.117798,-0.001245,-0.652880
0.920000,drone3,raw,0.995525,0.599580,1.618088,0.000137,-0.001627,-0.000002,0.999999,-0.000004,-0.115904,-0.001365,-0.737715
0.920000,drone2,raw,0.995019,-0.000423,1.623208,0.000136,-0.001661,-0.000001,0.999999,-0.000003,-0.116368,-0.001369,-0.738050
0.920000,drone1,raw,0.995523,-0.600420,1.617764,0.000084,-0.001669,-0.000001,0.999999,-0.000003,-0.115950,-0.001301,-0.738582
0.940000,drone1,raw,0.993462,-0.600443,1.601111,0.000080,-0.002366,-0.000002,0.999997,-0.000003,-0.110286,-0.001305,-0.804527
0.940000,drone3,raw,0.993464,0.599557,1.601451,0.000144,-0.002321,-0.000002,0.999997,-0.000004,-0.110229,-0.001393,-0.803672
0.940000,drone2,raw,0.992951,-0.000446,1.606565,0.000143,-0.002320,-0.000001,0.999997,-0.000003,-0.110628,-0.001395,-0.803991
0.960000,drone1,raw,0.991643,-0.600465,1.583812,0.000074,-0.002988,-0.000002,0.999996,-0.000004,-0.101113,-0.001254,-0.848324
0.960000,drone3,raw,0.991645,0.599535,1.584169,0.000152,-0.002939,-0.000002,0.999996,-0.000005,-0.101045,-0.001367,-0.847517
