13.7882,13.7882,13.7882,11.5443,11.5443,11.5443
75.676000000,3x6
14.7639,14.7639,14.7639,12.1428,12.1428,12.1428
14.633,14.633,14.633,12.1322,12.1322,12.1322
13.8153,13.8153,13.8153,11.5085,11.5085,11.5085
76.36000000,3x6
14.6164,14.6164,14.6164,11.981,11.981,11.981
14.4673,14.4673,14.4673,11.9608,11.9608,11.9608
13.8458,13.8458,13.8458,11.5324,11.5324,11.5324
76.464000000,3x6
14.6313,14.6313,14.6313,11.9828,11.9828,11.9828
14.4858,14.4858,14.4858,11.9566,11.9566,11.9566
13.8694,13.8694,13.8694,11.5538,11.5538,11.5538
76.900000000,3x6
14.7692,14.7692,14.7692,12.0085,12.0085,12.0085
14.6351,14.6351,14.6351,11.9673,11.9673,11.9673
13.8996,13.8996,13.8996,11.4651,11.4651,11.4651
77.288000000,3x6
14.8204,14.8204,14.8204,11.9582,11.9582,11.9582
14.6862,14.6862,14.6862,11.9056,11.9056,11.9056
13.9301,13.9301,13.9301,11.3788,11.3788,11.3788
77.624000000,3x6
14.8806,14.8806,14.8806,12.0083,12.0083,12.0083
14.7453,14.7453,14.7453,11.9476,11.9476,11.9476
13.9646,13.9646,13.9646,11.3878,11.3878,11.3878
78.44000000,3x6
14.856,14.856,14.856,11.9553,11.9553,11.9553
14.7136,14.7136,14.7136,11.8886,11.8886,11.8886
14.005,14.005,14.005,11.3958,11.3958,11.3958
78.500000000,3x6
14.9013,14.9013,14.9013,11.9613,11.9613,11.9613
14.7754,14.7754,14.7754,11.909,11.909,11.909
14.0428,14.0428,14.0428,11.3926,11.3926,11.3926
78.968000000,3x6
14.9897,14.9897,14.9897,12.0059,12.0059,12.0059
14.8774,14.8774,14.8774,11.9623,11.9623,11.9623
14.0778,14.0778,14.0778,11.3933,11.3933,11.3933
79.356000000,3x6
15.0716,15.0716,15.0716,12.0322,12.0322,12.0322
14.9555,14.9555,14.9555,11.9813,11.9813,11.9813
14.1175,14.1175,14.1175,11.3691,11.3691,11.3691
79.848000000,3x6
15.0038,15.0038,15.0038,11.9389,11.9389,11.9389
14.8699,14.8699,14.8699,11.8768,11.8768,11.8768
14.1496,14.1496,14.1496,11.3901,11.3901,11.3901
80.320000000,3x6
14.9874,14.9874,14.9874,11.8756,11.8756,11.8756
14.8548,14.8548,14.8548,11.822,11.822,11.822
14.1933,14.1933,14.1933,11.3907,11.3907,11.3907
80.768000000,3x6
14.9924,14.9924,14.9924,11.9853,11.9853,11.9853
14.86,14.86,14.86,11.9189,11.9189,11.9189
14.2213,14.2213,14.2213,11.5279,11.5279,11.5279
81.188000000,3x6
15.0408,15.0408,15.0408,11.9159,11.9159,11.9159
14.9052,14.9052,14.9052,11.8459,11.8459,11.8459
14.3007,14.3007,14.3007,11.4973,11.4973,11.4973
81.580000000,3x6
15.1589,15.1589,15.1589,11.9354,11.9354,11.9354
15.0262,15.0262,15.0262,11.8639,11.8639,11.8639
14.3482,14.3482,14.3482,11.4497,11.4497,11.4497
82.0,3x6
15.1333,15.1333,15.1333,11.9224,11.9224,11.9224
14.9971,14.9971,14.9971,11.8458,11.8458,11.8458
14.38,14.38,14.38,11.4972,11.4972,11.4972
82.404000000,3x6
15.1288,15.1288,15.1288,11.8406,11.8406,11.8406
14.9922,14.9922,14.9922,11.7514,11.7514,11.7514
14.4159,14.4159,14.4159,11.4404,11.4404,11.4404
82.864000000,3x6
15.143,15.143,15.143,11.8394,11.8394,11.8394
15.0126,15.0126,15.0126,11.7495,11.7495,11.7495
14.4547,14.4547,14.4547,11.4617,11.4617,11.4617
83.376000000,3x6
15.0509,15.0509,15.0509,11.6218,11.6218,11.6218
14.9083,14.9083,14.9083,11.5227,11.5227,11.5227
14.4895,14.4895,14.4895,11.3646,11.3646,11.3646
83.856000000,3x6
15.0723,15.0723,15.0723,11.7456,11.7456,11.7456
14.9238,14.9238,14.9238,11.6467,11.6467,11.6467
14.539,14.539,14.539,11.5103,11.5103,11.5103
84.316000000,3x6
15.1305,15.1305,15.1305,11.7506,11.7506,11.7506
14.9763,14.9763,14.9763,11.6543,11.6543,11.6543
14.5999,14.5999,14.5999,11.517,11.517,11.517
84.732000000,3x6
15.209,15.209,15.209,11.8452,11.8452,11.8452
15.0569,15.0569,15.0569,11.7575,11.7575,11.7575
14.6615,14.6615,14.6615,11.6055,11.6055,11.6055
85.144000000,3x6
15.2792,15.2792,15.2792,11.8844,11.8844,11.8844
15.1315,15.1315,15.1315,11.7948,11.7948,11.7948
14.7039,14.7039,14.7039,11.6156,11.6156,11.6156
85.572000000,3x6
15.3339,15.3339,15.3339,11.8642,11.8642,11.8642
15.1972,15.1972,15.1972,11.7682,11.7682,11.7682
14.7425,14.7425,14.7425,11.573,11.573,11.573
85.968000000,3x6
15.2508,15.2508,15.2508,11.7986,11.7986,11.7986
15.0968,15.0968,15.0968,11.6809,11.6809,11.6809
14.7782,14.7782,14.7782,11.6344,11.6344,11.6344
86.388000000,3x6
15.2662,15.2662,15.2662,11.7618,11.7618,11.7618
15.1026,15.1026,15.1026,11.6279,11.6279,11.6279
14.8159,14.8159,14.8159,11.6192,11.6192,11.6192
86.796000000,3x6
15.2773,15.2773,15.2773,11.7333,11.7333,11.7333
15.1076,15.1076,15.1076,11.5954,11.5954,11.5954
14.8436,14.8436,14.8436,11.6104,11.6104,11.6104
87.220000000,3x6
15.3277,15.3277,15.3277,11.7507,11.7507,11.7507
15.1619,15.1619,15.1619,11.6239,11.6239,11.6239
14.878,14.878,14.878,11.6092,11.6092,11.6092
87.616000000,3x6
15.3302,15.3302,15.3302,11.7346,11.7346,11.7346
15.1657,15.1657,15.1657,11.6129,11.6129,11.6129
14.9089,14.9089,14.9089,11.6131,11.6131,11.6131
88.36000000,3x6
15.3924,15.3924,15.3924,11.7669,11.7669,11.7669
15.2421,15.2421,15.2421,11.6542,11.6542,11.6542
14.9488,14.9488,14.9488,11.619,11.619,11.619
88.440000000,3x6
15.5213,15.5213,15.5213,11.8708,11.8708,11.8708
15.3885,15.3885,15.3885,11.7617,11.7617,11.7617
14.9816,14.9816,14.9816,11.6347,11.6347,11.6347
88.872000000,3x6
15.5645,15.5645,15.5645,11.8771,11.8771,11.8771
15.4292,15.4292,15.4292,11.7718,11.7718,11.7718
15.0141,15.0141,15.0141,11.642,11.642,11.642
89.208000000,3x6
15.5216,15.5216,15.5216,11.9298,11.9298,11.9298
15.3815,15.3815,15.3815,11.8169,11.8169,11.8169
15.0387,15.0387,15.0387,11.7615,11.7615,11.7615
89.596000000,3x6
15.5547,15.5547,15.5547,11.8277,11.8277,11.8277
15.4121,15.4121,15.4121,11.7061,11.7061,11.7061
15.0738,15.0738,15.0738,11.6478,11.6478,11.6478
90.4000000,3x6
15.5932,15.5932,15.5932,11.9918,11.9918,11.9918
15.4584,15.4584,15.4584,11.8754,11.8754,11.8754
15.1225,15.1225,15.1225,11.8125,11.8125,11.8125
90.436000000,3x6
