stamp_ns,node_ns,src_drone_ns,fused_id,class_id,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
16300000000,/,drone1,0,-1,world,-0.890618,0.170736,0.000000,1.896203e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.896203e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974654e+00
16400000000,/,drone1,0,-1,world,-0.890681,0.170711,0.000000,1.895658e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895658e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974503e+00
16492000000,/,drone1,0,-1,world,-0.890710,0.170700,0.000000,1.895418e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895418e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974436e+00
16568000000,/,drone1,0,-1,world,-0.890723,0.170696,0.000000,1.895312e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895312e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974406e+00
16656000000,/,drone1,0,-1,world,-0.889507,0.171218,0.000000,1.906506e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.906506e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977501e+00
16744000000,/,drone1,0,-1,world,-0.888957,0.171444,0.000000,1.911390e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.911390e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.978844e+00
16832000000,/,drone1,0,-1,world,-0.889922,0.171024,0.000000,1.902412e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.902412e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.976374e+00
16932000000,/,drone1,0,-1,world,-0.890364,0.170838,0.000000,1.898410e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.898410e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975267e+00
17000000000,/,drone1,0,-1,world,-0.889345,0.171279,0.000000,1.907853e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.907853e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977873e+00
17096000000,/,drone1,0,-1,world,-0.890101,0.170951,0.000000,1.900832e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900832e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975937e+00
17184000000,/,drone1,0,-1,world,-0.890446,0.170806,0.000000,1.897708e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.897708e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975072e+00
17256000000,/,drone1,0,-1,world,-0.890603,0.170742,0.000000,1.896324e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.896324e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974688e+00
17324000000,/,drone1,0,-1,world,-0.890674,0.170714,0.000000,1.895712e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895712e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974518e+00
