stamp,track_id,class,class_name,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_range_est,aq_range_gt,aq_range_err
552.520000,0,3,container4,drone3,28.084118,4.088756,0.000000,container4,31.672526,4.724885,-1.641156,-3.588408,-0.636129,1.641156,3.996839,-2.094420,-0.191460,0.000000,30.480558,34.162413,-3.681855
552.556000,0,3,container4,drone3,28.088142,4.088710,0.000000,container4,31.672458,4.724660,-1.644700,-3.584316,-0.635950,1.644700,3.994596,-2.094496,-0.191412,0.000000,30.484604,34.162553,-3.677949
552.588000,0,3,container4,drone3,28.092075,4.088561,0.000000,container4,31.672423,4.724549,-1.646525,-3.580349,-0.635987,1.646525,3.991794,-2.094522,-0.191396,0.000000,30.488500,34.162613,-3.674113
552.620000,0,3,container4,drone3,28.095642,4.088501,0.000000,container4,31.672423,4.724549,-1.646525,-3.576781,-0.636048,1.646525,3.988604,-2.094574,-0.191363,0.000000,30.492071,34.162660,-3.670589
552.652000,0,3,container4,drone3,28.099845,4.088608,0.000000,container4,31.672423,4.724549,-1.646525,-3.572578,-0.635941,1.646525,3.984819,-2.094574,-0.191363,0.000000,30.496247,34.162660,-3.666413
552.688000,0,3,container4,drone3,28.102056,4.088607,0.000000,container4,31.672350,4.724331,-1.650279,-3.570294,-0.635724,1.650279,3.984290,-2.094627,-0.191330,0.000000,30.498484,34.162785,-3.664301
552.720000,0,3,container4,drone3,28.102135,4.088526,0.000000,container4,31.672312,4.724225,-1.652206,-3.570178,-0.635698,1.652206,3.984980,-2.094680,-0.191297,0.000000,30.498599,34.162874,-3.664275
552.752000,0,3,container4,drone3,28.099567,4.088389,0.000000,container4,31.672312,4.724225,-1.652206,-3.572746,-0.635836,1.652206,3.987303,-2.094707,-0.191280,0.000000,30.496061,34.162898,-3.666837
552.784000,0,3,container4,drone3,28.095775,4.088112,0.000000,container4,31.672234,4.724017,-1.656156,-3.576459,-0.635905,1.656156,3.992278,-2.094762,-0.191246,0.000000,30.492317,34.163031,-3.670713
552.816000,0,3,container4,drone3,28.091047,4.087784,0.000000,container4,31.672234,4.724017,-1.656156,-3.581187,-0.636233,1.656156,3.996567,-2.094817,-0.191211,0.000000,30.487640,34.163081,-3.675440
552.852000,0,3,container4,drone3,28.086493,4.087613,0.000000,container4,31.672193,4.723915,-1.658179,-3.585701,-0.636302,1.658179,4.001460,-2.094845,-0.191194,0.000000,30.483132,34.163149,-3.680017
552.884000,0,3,container4,drone3,28.082787,4.087403,0.000000,container4,31.672152,4.723816,-1.660232,-3.589364,-0.636412,1.660232,4.005612,-2.094902,-0.191159,0.000000,30.479485,34.163244,-3.683759
552.916000,0,3,container4,drone3,28.080015,4.087176,0.000000,container4,31.672109,4.723718,-1.662315,-3.592094,-0.636542,1.662315,4.008942,-2.094959,-0.191124,0.000000,30.476760,34.163341,-3.686581
552.952000,0,3,container4,drone3,28.078009,4.087122,0.000000,container4,31.671684,4.722935,-1.682289,-3.593675,-0.635813,1.682289,4.018564,-2.095446,-0.190829,0.000000,30.475207,34.164224,-3.689018
552.984000,0,3,container4,drone3,28.075429,4.087060,0.000000,container4,31.671684,4.722935,-1.682289,-3.596255,-0.635875,1.682289,4.020881,-2.095446,-0.190829,0.000000,30.472644,34.164224,-3.691580
553.016000,0,3,container4,drone3,28.072533,4.086928,0.000000,container4,31.671684,4.722935,-1.682289,-3.599150,-0.636007,1.682289,4.023492,-2.095446,-0.190829,0.000000,30.469758,34.164224,-3.694466
553.048000,0,3,container4,drone3,28.070061,4.086761,0.000000,container4,31.671684,4.722935,-1.682289,-3.601623,-0.636174,1.682289,4.025730,-2.095446,-0.190829,0.000000,30.467287,34.164224,-3.696937
553.084000,0,3,container4,drone3,28.067336,4.086696,0.000000,container4,31.671684,4.722935,-1.682289,-3.604347,-0.636240,1.682289,4.028178,-2.095446,-0.190829,0.000000,30.464580,34.164224,-3.699644
553.116000,0,3,container4,drone3,28.064320,4.086692,0.000000,container4,31.671684,4.722935,-1.682289,-3.607363,-0.636243,1.682289,4.030877,-2.095446,-0.190829,0.000000,30.461594,34.164224,-3.702631
553.148000,0,3,container4,drone3,28.061982,4.086706,0.000000,container4,31.671684,4.722935,-1.682289,-3.609701,-0.636230,1.682289,4.032968,-2.095446,-0.190829,0.000000,30.459281,34.164224,-3.704943
553.180000,0,3,container4,drone3,28.060862,4.086781,0.000000,container4,31.671684,4.722935,-1.682289,-3.610821,-0.636154,1.682289,4.033958,-2.095446,-0.190829,0.000000,30.458183,34.164224,-3.706042
553.212000,0,3,container4,drone3,28.060639,4.086815,0.000000,container4,31.671684,4.722935,-1.682289,-3.611045,-0.636120,1.682289,4.034153,-2.095446,-0.190829,0.000000,30.457966,34.164224,-3.706259
553.248000,0,3,container4,drone3,28.061181,4.086723,0.000000,container4,31.671684,4.722935,-1.682289,-3.610503,-0.636212,1.682289,4.033682,-2.095446,-0.190829,0.000000,30.458490,34.164224,-3.705734
553.280000,0,3,container4,drone3,28.063785,4.086945,0.000000,container4,31.671579,4.722788,-1.686998,-3.607794,-0.635842,1.686998,4.033167,-2.095511,-0.190791,0.000000,30.461158,34.164390,-3.703232
553.312000,0,3,container4,drone3,28.065078,4.087023,0.000000,container4,31.671579,4.722788,-1.686998,-3.606501,-0.635765,1.686998,4.031998,-2.095576,-0.190752,0.000000,30.462508,34.164449,-3.701941
553.348000,0,3,container4,drone3,28.065627,4.086948,0.000000,container4,31.671525,4.722718,-1.689386,-3.605897,-0.635770,1.689386,4.032459,-2.095609,-0.190733,0.000000,30.463071,34.164533,-3.701462
553.380000,0,3,container4,drone3,28.065725,4.086620,0.000000,container4,31.671470,4.722651,-1.691793,-3.605745,-0.636031,1.691793,4.033373,-2.095675,-0.190694,0.000000,30.463182,34.164648,-3.701467
553.412000,0,3,container4,drone3,28.065149,4.086272,0.000000,container4,31.671414,4.722587,-1.694222,-3.606266,-0.636315,1.694222,4.034902,-2.095742,-0.190655,0.000000,30.462623,34.164765,-3.702142
553.444000,0,3,container4,drone3,28.063648,4.085996,0.000000,container4,31.671358,4.722526,-1.696669,-3.607709,-0.636530,1.696669,4.037254,-2.095776,-0.190635,0.000000,30.461130,34.164852,-3.703722
553.480000,0,3,container4,drone3,28.060623,4.085576,0.000000,container4,31.671300,4.722468,-1.699136,-3.610677,-0.636891,1.699136,4.041000,-2.095844,-0.190596,0.000000,30.458138,34.164971,-3.706833
553.512000,0,3,container4,drone3,28.057899,4.085060,0.000000,container4,31.671241,4.722412,-1.701620,-3.613342,-0.637353,1.701620,4.044499,-2.095879,-0.190576,0.000000,30.455400,34.165060,-3.709661
553.544000,0,3,container4,drone3,28.056111,4.084505,0.000000,container4,31.671241,4.722412,-1.701620,-3.615130,-0.637907,1.701620,4.046183,-2.095948,-0.190537,0.000000,30.453615,34.165123,-3.711508
553.576000,0,3,container4,drone3,28.053447,4.083954,0.000000,container4,31.671121,4.722311,-1.706640,-3.617674,-0.638356,1.706640,4.050640,-2.096018,-0.190497,0.000000,30.450963,34.165304,-3.714341
553.608000,0,3,container4,drone3,28.052459,4.083278,0.000000,container4,31.671121,4.722311,-1.706640,-3.618662,-0.639033,1.706640,4.051629,-2.096054,-0.190477,0.000000,30.449923,34.165336,-3.715413
553.644000,0,3,container4,drone3,28.049686,4.082246,0.000000,container4,31.671060,4.722264,-1.709174,-3.621374,-0.640019,1.709174,4.055274,-2.096125,-0.190437,0.000000,30.447097,34.165460,-3.718363
553.676000,0,3,container4,drone3,28.046881,4.081213,0.000000,container4,31.670934,4.722182,-1.714288,-3.624053,-0.640969,1.714288,4.059973,-2.096233,-0.190377,0.000000,30.444274,34.165678,-3.721405
553.708000,0,3,container4,drone3,28.042562,4.080264,0.000000,container4,31.670934,4.722182,-1.714288,-3.628372,-0.641917,1.714288,4.063979,-2.096233,-0.190377,0.000000,30.439864,34.165678,-3.725814
553.744000,0,3,container4,drone3,28.038711,4.079196,0.000000,container4,31.670870,4.722145,-1.716866,-3.632159,-0.642949,1.716866,4.068611,-2.096306,-0.190336,0.000000,30.435968,34.165806,-3.729838
553.776000,0,3,container4,drone3,28.034614,4.077971,0.000000,container4,31.670804,4.722112,-1.719457,-3.636190,-0.644141,1.719457,4.073491,-2.096380,-0.190296,0.000000,30.431808,34.165934,-3.734126
553.808000,0,3,container4,drone3,28.030553,4.076776,0.000000,container4,31.670738,4.722082,-1.722061,-3.640185,-0.645306,1.722061,4.078341,-2.096417,-0.190276,0.000000,30.427653,34.166029,-3.738376
553.840000,0,3,container4,drone3,28.027135,4.075710,0.000000,container4,31.670671,4.722055,-1.724676,-3.643536,-0.646345,1.724676,4.082600,-2.096492,-0.190235,0.000000,30.424188,34.166159,-3.741971
553.876000,0,3,container4,drone3,28.023598,4.074524,0.000000,container4,31.670603,4.722032,-1.727303,-3.647005,-0.647507,1.727303,4.086990,-2.096606,-0.190174,0.000000,30.420624,34.166324,-3.745701
553.908000,0,3,container4,drone3,28.017892,4.070531,0.000000,container4,31.670534,4.722012,-1.729939,-3.652642,-0.651480,1.729939,4.093765,-2.096606,-0.190174,0.000000,30.414414,34.166387,-3.751972
553.940000,0,3,container4,drone3,28.014924,4.069686,0.000000,container4,31.670534,4.722012,-1.729939,-3.655610,-0.652326,1.729939,4.096548,-2.096682,-0.190134,0.000000,30.411427,34.166457,-3.755030
553.972000,0,3,container4,drone3,28.012216,4.068979,0.000000,container4,31.670393,4.721982,-1.735241,-3.658177,-0.653003,1.735241,4.101187,-2.096760,-0.190093,0.000000,30.408718,34.166653,-3.757935
554.004000,0,3,container4,drone3,28.009613,4.068400,0.000000,container4,31.670393,4.721982,-1.735241,-3.660780,-0.653582,1.735241,4.103601,-2.096798,-0.190073,0.000000,30.406095,34.166688,-3.760593
554.040000,0,3,container4,drone3,28.003643,4.064874,0.000000,container4,31.670321,4.721972,-1.737905,-3.666678,-0.657098,1.737905,4.110550,-2.096877,-0.190032,0.000000,30.399761,34.166822,-3.767061
554.072000,0,3,container4,drone3,27.997091,4.061673,0.000000,container4,31.670175,4.721964,-1.743254,-3.673083,-0.660291,1.743254,4.119036,-2.096955,-0.189991,0.000000,30.392899,34.167021,-3.774122
554.104000,0,3,container4,drone3,27.990052,4.058758,0.000000,container4,31.670100,4.721965,-1.745938,-3.680048,-0.663206,1.745938,4.126850,-2.097075,-0.189931,0.000000,30.385631,34.167194,-3.781563
554.140000,0,3,container4,drone3,27.981972,4.055972,0.000000,container4,31.670100,4.721965,-1.745938,-3.688128,-0.665993,1.745938,4.134505,-2.097075,-0.189931,0.000000,30.377241,34.167194,-3.789952
