stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
0.76,drone1,raw,1.01191,-0.600276,1.682304,,,,,,,,,,,,,,,,
0.76,drone2,raw,1.011462,-0.000279,1.687686,,,,,,,,,,,,,,,,
0.78,drone3,raw,1.010554,0.599714,1.68357,,,,,,,,,,,,,,,,
0.78,drone1,raw,1.01055,-0.600286,1.683348,,,,,,,,,,,,,,,,
0.78,drone2,raw,1.010097,-0.000289,1.688734,,,,,,,,,,,,,,,,
0.8,drone3,raw,1.00887,0.599701,1.681687,,,,,,,,,,,,,,,,
0.8,drone1,raw,1.008867,-0.600299,1.681455,,,,,,,,,,,,,,,,
0.8,drone2,raw,1.008408,-0.000302,1.686846,,,,,,,,,,,,,,,,
0.82,drone3,raw,1.006919,0.599686,1.676969,,,,,,,,,,,,,,,,
0.82,drone1,raw,1.006915,-0.600314,1.676726,,,,,,,,,,,,,,,,
0.82,drone2,raw,1.00645,-0.000316,1.682123,,,,,,,,,,,,,,,,
0.84,drone2,raw,1.004284,-0.000334,1.674718,,,,,,,,,,,,,,,,
0.84,drone3,raw,1.00476,0.599669,1.669571,,,,,,,,,,,,,,,,
0.84,drone1,raw,1.004757,-0.600331,1.669313,,,,,,,,,,,,,,,,
0.86,drone3,raw,1.002463,0.599649,1.659696,,,,,,,,,,,,,,,,
0.86,drone2,raw,1.001979,-0.000354,1.664837,,,,,,,,,,,,,,,,
0.86,drone1,raw,1.00246,-0.600351,1.659424,,,,,,,,,,,,,,,,
0.88,drone3,raw,1.000104,0.599627,1.647605,,,,,,,,,,,,,,,,
0.88,drone1,raw,1.000101,-0.600373,1.647316,,,,,,,,,,,,,,,,
0.88,drone2,raw,0.999612,-0.000376,1.652739,,,,,,,,,,,,,,,,
0.9,drone3,raw,0.997764,0.599604,1.633613,,,,,,,,,,,,,,,,
0.9,drone2,raw,0.997265,-0.000399,1.63874,,,,,,,,,,,,,,,,
0.9,drone1,raw,0.997761,-0.600396,1.633307,,,,,,,,,,,,,,,,
0.92,drone3,raw,0.995525,0.59958,1.618088,,,,,,,,,,,,,,,,
0.92,drone1,raw,0.995523,-0.60042,1.617764,,,,,,,,,,,,,,,,
0.92,drone2,raw,0.995019,-0.000423,1.623208,,,,,,,,,,,,,,,,
0.94,drone3,raw,0.993464,0.599557,1.601451,,,,,,,,,,,,,,,,
0.94,drone1,raw,0.993462,-0.600443,1.601111,,,,,,,,,,,,,,,,
0.94,drone2,raw,0.992951,-0.000446,1.606565,,,,,,,,,,,,,,,,
0.96,drone3,raw,0.991645,0.599535,1.584169,,,,,,,,,,,,,,,,
0.96,drone1,raw,0.991643,-0.600465,1.583812,,,,,,,,,,,,,,,,
0.96,drone2,raw,0.991126,-0.000468,1.589277,,,,,,,,,,,,,,,,
0.98,drone3,raw,0.990112,0.599516,1.56674,,,,,,,,,,,,,,,,
0.98,drone1,raw,0.990111,-0.600484,1.56637,,,,,,,,,,,,,,,,
0.98,drone2,raw,0.989588,-0.000487,1.571845,,,,,,,,,,,,,,,,
1,drone3,raw,0.988889,0.599499,1.549685,,,,,,,,,,,,,,,,
1,drone2,raw,0.988361,-0.000504,1.554787,,,,,,,,,,,,,,,,
1,drone1,raw,0.988888,-0.600501,1.549303,,,,,,,,,,,,,,,,
1.02,drone3,raw,0.987975,0.599485,1.533527,,,,,,,,,,,,,,,,
1.02,drone2,raw,0.987444,-0.000518,1.538628,,,,,,,,,,,,,,,,
1.02,drone1,raw,0.987973,-0.600515,1.533135,,,,,,,,,,,,,,,,
1.04,drone3,raw,0.987345,0.599473,1.518771,,,,,,,,,,,,,,,,
